team_1_athlete_1_id,team_1_athlete_1_name,team_1_athlete_1_profile_pic,team_1_athlete_1_nationality_name,team_1_athlete_1_national_flag_thumbnail,team_1_athlete_1_dob,team_1_athlete_1_age,team_1_athlete_1_height,team_1_athlete_2_id,team_1_athlete_2_name,team_1_athlete_2_profile_pic,team_1_athlete_2_nationality_name,team_1_athlete_2_national_flag_thumbnail,team_1_athlete_2_dob,team_1_athlete_2_age,team_1_athlete_2_height,team_1_current_rank,team_1_total_wins,team_1_total_points,team_1_career_wins,team_1_career_losses,team_1_current_year_wins,team_1_current_year_losses,team_2_athlete_1_id,team_2_athlete_1_name,team_2_athlete_1_profile_pic,team_2_athlete_1_nationality_name,team_2_athlete_1_national_flag_thumbnail,team_2_athlete_1_dob,team_2_athlete_1_age,team_2_athlete_1_height,team_2_athlete_2_id,team_2_athlete_2_name,team_2_athlete_2_profile_pic,team_2_athlete_2_nationality_name,team_2_athlete_2_national_flag_thumbnail,team_2_athlete_2_dob,team_2_athlete_2_age,team_2_athlete_2_height,team_2_current_rank,team_2_total_wins,team_2_total_points,team_2_career_wins,team_2_career_losses,team_2_current_year_wins,team_2_current_year_losses
72435,Satwiksairaj RANKIREDDY,https://img.bwfbadminton.com/image/upload/v1697771308/assets/players/thumbnail/72435.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,2000-08-13,24,184.0,70500,Chirag SHETTY,https://img.bwfbadminton.com/image/upload/v1697771565/assets/players/thumbnail/70500.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,1997-07-04,27,186.0,16.0,4,224,226,105,13,6,78409,Wei Chong MAN,https://img.bwfbadminton.com/image/upload/v1697420743/assets/players/thumbnail/78409.jpg,Malaysia,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/MAS.png,1999-09-05,25.0,,85129,Kai Wun TEE,https://img.bwfbadminton.com/image/upload/v1697443452/assets/players/thumbnail/85129.jpg,Malaysia,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/MAS.png,2000-04-17,25.0,,7.0,1,184,102,57,20,10
72435,Satwiksairaj RANKIREDDY,https://img.bwfbadminton.com/image/upload/v1697771308/assets/players/thumbnail/72435.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,2000-08-13,24,184.0,70500,Chirag SHETTY,https://img.bwfbadminton.com/image/upload/v1697771565/assets/players/thumbnail/70500.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,1997-07-04,27,186.0,16.0,3,161,226,105,13,6,64729,Rasmus KJÆR,https://img.bwfbadminton.com/image/upload/v1604899224/assets/players/thumbnail/64729.jpg,Denmark,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/DEN.png,1998-10-04,26.0,180.0,57731,Frederik SØGAARD,https://img.bwfbadminton.com/image/upload/v1604895161/assets/players/thumbnail/57731.jpg,Denmark,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/DEN.png,1997-07-25,27.0,186.0,15.0,0,144,90,48,10,7
72435,Satwiksairaj RANKIREDDY,https://img.bwfbadminton.com/image/upload/v1697771308/assets/players/thumbnail/72435.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,2000-08-13,24,184.0,70500,Chirag SHETTY,https://img.bwfbadminton.com/image/upload/v1697771565/assets/players/thumbnail/70500.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,1997-07-04,27,186.0,16.0,3,578,226,105,13,6,56203,Aaron CHIA,https://img.bwfbadminton.com/image/upload/v1627949889/assets/players/thumbnail/56203.jpg,Malaysia,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/MAS.png,1997-02-24,28.0,168.0,99389,Wooi Yik SOH,https://img.bwfbadminton.com/image/upload/v1627949962/assets/players/thumbnail/99389.jpg,Malaysia,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/MAS.png,1998-02-17,27.0,185.0,2.0,10,609,256,130,27,8
72435,Satwiksairaj RANKIREDDY,https://img.bwfbadminton.com/image/upload/v1697771308/assets/players/thumbnail/72435.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,2000-08-13,24,184.0,70500,Chirag SHETTY,https://img.bwfbadminton.com/image/upload/v1697771565/assets/players/thumbnail/70500.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,1997-07-04,27,186.0,16.0,7,412,226,105,13,6,90768,Sze Fei GOH,https://img.bwfbadminton.com/image/upload/v1636512672/assets/players/thumbnail/90768.jpg,Malaysia,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/MAS.png,1997-08-18,27.0,171.0,94814,Nur IZZUDDIN,https://img.bwfbadminton.com/image/upload/v1636512792/assets/players/thumbnail/94814.jpg,Malaysia,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/MAS.png,1997-11-11,27.0,175.0,1.0,2,379,183,113,15,7
72435,Satwiksairaj RANKIREDDY,https://img.bwfbadminton.com/image/upload/v1697771308/assets/players/thumbnail/72435.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,2000-08-13,24,184.0,70500,Chirag SHETTY,https://img.bwfbadminton.com/image/upload/v1697771565/assets/players/thumbnail/70500.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,1997-07-04,27,186.0,16.0,1,61,226,105,13,6,87432,Sabar Karyaman GUTAMA,https://img.bwfbadminton.com/image/upload/assets/players/thumbnail/profile_male.jpg,Indonesia,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/INA.png,1996-01-08,29.0,,86136,Moh Reza Pahlevi ISFAHANI,https://img.bwfbadminton.com/image/upload/v1604895633/assets/players/thumbnail/86136.jpg,Indonesia,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/INA.png,1998-08-06,26.0,,8.0,0,56,92,50,13,8
72435,Satwiksairaj RANKIREDDY,https://img.bwfbadminton.com/image/upload/v1697771308/assets/players/thumbnail/72435.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,2000-08-13,24,184.0,70500,Chirag SHETTY,https://img.bwfbadminton.com/image/upload/v1697771565/assets/players/thumbnail/70500.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,1997-07-04,27,186.0,16.0,1,42,226,105,13,6,56350,Hon Jian CHOONG,https://img.bwfbadminton.com/image/upload/v1604896521/assets/players/thumbnail/56350.jpg,Malaysia,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/MAS.png,2000-07-02,24.0,,88642,Muhammad HAIKAL,https://img.bwfbadminton.com/image/upload/v1654675847/assets/players/thumbnail/88642.jpg,Malaysia,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/MAS.png,2002-12-26,22.0,,38.0,0,29,40,26,1,5
72435,Satwiksairaj RANKIREDDY,https://img.bwfbadminton.com/image/upload/v1697771308/assets/players/thumbnail/72435.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,2000-08-13,24,184.0,70500,Chirag SHETTY,https://img.bwfbadminton.com/image/upload/v1697771565/assets/players/thumbnail/70500.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,1997-07-04,27,186.0,16.0,1,60,226,105,13,6,89909,Hao Nan XIE,https://img.bwfbadminton.com/image/upload/assets/players/thumbnail/profile_male.jpg,China,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/CHN.png,2000-09-29,24.0,,66820,Wei Han ZENG,https://img.bwfbadminton.com/image/upload/assets/players/thumbnail/profile_male.jpg,China,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/CHN.png,2002-07-29,22.0,,27.0,1,50,33,29,9,9
72435,Satwiksairaj RANKIREDDY,https://img.bwfbadminton.com/image/upload/v1697771308/assets/players/thumbnail/72435.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,2000-08-13,24,184.0,70500,Chirag SHETTY,https://img.bwfbadminton.com/image/upload/v1697771565/assets/players/thumbnail/70500.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,1997-07-04,27,186.0,16.0,1,80,226,105,13,6,68134,Daniel LUNDGAARD,https://img.bwfbadminton.com/image/upload/v1604896020/assets/players/thumbnail/68134.jpg,Denmark,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/DEN.png,2000-07-02,24.0,,60507,Mads VESTERGAARD,https://img.bwfbadminton.com/image/upload/v1724635601/assets/players/thumbnail/60507.jpg,Denmark,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/DEN.png,2002-03-11,23.0,,26.0,1,75,54,42,6,10
72435,Satwiksairaj RANKIREDDY,https://img.bwfbadminton.com/image/upload/v1697771308/assets/players/thumbnail/72435.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,2000-08-13,24,184.0,70500,Chirag SHETTY,https://img.bwfbadminton.com/image/upload/v1697771565/assets/players/thumbnail/70500.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,1997-07-04,27,186.0,16.0,0,41,226,105,13,6,73633,Kittinupong KEDREN,https://img.bwfbadminton.com/image/upload/v1721631057/assets/players/thumbnail/73633.jpg,Thailand,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/THA.png,1996-07-19,28.0,163.0,61731,Dechapol PUAVARANUKROH,https://img.bwfbadminton.com/image/upload/v1636447436/assets/players/thumbnail/61731.jpg,Thailand,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/THA.png,1997-05-20,28.0,169.0,14.0,1,45,110,105,20,9
72435,Satwiksairaj RANKIREDDY,https://img.bwfbadminton.com/image/upload/v1697771308/assets/players/thumbnail/72435.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,2000-08-13,24,184.0,70500,Chirag SHETTY,https://img.bwfbadminton.com/image/upload/v1697771565/assets/players/thumbnail/70500.jpg,India,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/IND.png,1997-07-04,27,186.0,16.0,1,42,226,105,13,6,75829,Zhi  Ray CHEN,https://img.bwfbadminton.com/image/upload/assets/players/thumbnail/profile_male.jpg,Chinese Taipei,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/TPE.png,2002-08-14,22.0,,92504,Yu Chieh LIN,https://img.bwfbadminton.com/image/upload/v1696985956/assets/players/thumbnail/92504.jpg,Chinese Taipei,https://img.bwfbadminton.com/image/upload/assets/flag-circle-svg-custom/TPE.png,2000-05-19,25.0,,36.0,0,31,26,26,4,11
