team_id,tournament_name,final_position,tournament_grade,tournament_year,notable_wins,lost_to
1,BANK OF NINGBO Badminton Asia Championships 2024,R32,G1_CC,2024,,Jhe-Huei LEE & Po-Hsuan YANG (20)
1,KFF Singapore Badminton Open 2024,R32,750,2024,,Daniel Lundgaard & Mads Vestergaard (25)
1,LI-NING China Masters 2024,SF,750,2024,"Kim Astrup & Anders Skaarup Rasmussen (3), Rasmus Kjær & Frederik Søgaard (15)",Yong Jin & Seung Jae Seo (55)
1,PETRONAS Malaysia Open 2024,SF,1000,2024,Ji Ting He & Xiang Yu Ren (14),Wei Keng Liang & Chang Wang (6)
1,Syed Modi India International 2024,R32,300,2024,,Xu Jun Chen & Ruo Han Guo (89)
1,TotalEnergies BWF Thomas & Uber Cup Finals 2024,QF,G1_CC,2024,,Wei Keng LIANG & Chang WANG (6)
1,YONEX All England Open Badminton Championships 2024,R16,1000,2024,,Muhammad Shohibul Fikri & Bagas Maulana
1,YONEX SUNRISE India Open 2024,SF,750,2024,"Aaron Chia & Wooi Yik Soh (2), Kim Astrup & Anders Skaarup Rasmussen (3)",Min Hyuk Kang & Seung Jae Seo (30)
2,FZ FORZA Dutch International 2024,SF,G1_CC,2024,,Rory EASTON & Alex GREEN (65)
2,Lagos International Classics 2024,SF,G1_CC,2024,,Pruthvi KRISHNAMURTHY ROY & Vishnuvardhan Goud PANJALA
2,MAXX North Harbour International 2024,SF,G1_CC,2024,,Hiroki MIDORIKAWA & Kyohei YAMASHITA (28)
2,NMDC - TELANGANA International Challenge 2024,SF,G1_CC,2024,,Pruthvi KRISHNAMURTHY ROY & Sai PRATHEEK.K (37)
2,ROKETTO Sydney International 2024,QF,G1_CC,2024,,Hiroki MIDORIKAWA & Kyohei YAMASHITA (28)
2,ST DENIS Reunion Open 2024,SF,G1_CC,2024,,Julien MAIO & William VILLEGER (61)
2,Syed Modi India International 2024,QF,300,2024,,Wen Jun Sun & Yi Jun Zhu (46)
2,YONEX Bendigo International 2024,SF,G1_CC,2024,,Cheng Kuan CHEN & Li-Wei PO
2,YONEX-SUNRISE Guwahati Masters 2024,QF,100,2024,,He Chen Cui & Jian Qin Peng (50)
