team_id,main_athlete_name,tournament_id,tournament_name,year,tournament_date,round_name,notable_win,lost_to
1,Satwiksairaj RANKIREDDY & Chirag SHETTY,5236,KAPAL API Indonesia Open 2025,2025,8 June,QF,"Leo Rolly CARNANDO & Bagas MAULANA (9), Rasmus KJÆR & Frederik SØGAARD (15)",Wei Chong MAN & Kai Wun TEE (7)
1,Satwiksairaj RANKIREDDY & Chirag SHETTY,5282,KFF Singapore Badminton Open 2025,2025,1 June,SF,"Sabar Karyaman GUTAMA & Moh Reza Pahlevi ISFAHANI (8), Sze Fei GOH & Nur IZZUDDIN (1)",Aaron CHIA & Wooi Yik SOH (2)
1,Satwiksairaj RANKIREDDY & Chirag SHETTY,5238,YONEX All England Open Badminton Championships 2025,2025,16 March,R16,,Hao Nan XIE & Wei Han ZENG (27)
1,Satwiksairaj RANKIREDDY & Chirag SHETTY,5192,TSINGTAO Badminton Asia Mixed Team Championship 2025,2025,16 February,QF,,Takumi NOMURA & Yuichi SHIMOGAMI (32)
1,Satwiksairaj Rankireddy & Chirag Shetty,5234,DAIHATSU Indonesia Masters 2025,2025,26 January,R16,,Kittinupong Kedren & Dechapol Puavaranukroh (13)
1,Satwiksairaj Rankireddy & Chirag Shetty,5268,YONEX-SUNRISE India Open 2025,2025,19 January,SF,Wei Chong Man & Kai Wun Tee (7),Sze Fei Goh & Nur Izzuddin (1)
1,Satwiksairaj Rankireddy & Chirag Shetty,5222,PETRONAS Malaysia Open 2025,2025,12 January,SF,,Won Ho Kim & Seung Jae Seo (4)
2,Hariharan AMSAKARUNAN & Ruban Kumar RETHINASABAPATHI,5224,PERODUA Malaysia Masters 2025,2025,25 May,R32,,Zhi  Ray CHEN & Yu Chieh LIN (44)
2,Hariharan AMSAKARUNAN & Ruban Kumar RETHINASABAPATHI,5302,ST DENIS Reunion Open 2025,2025,18 May,SF,,
2,Hariharan AMSAKARUNAN & Ruban Kumar RETHINASABAPATHI,5260,TotalEnergies BWF Sudirman Cup Finals 2025,2025,4 May,R3,,"Kim ASTRUP & Anders Skaarup RASMUSSEN (3), Muhammad Shohibul FIKRI & Daniel MARTHIN (10), Rory EASTON & Alex GREEN (65)"
2,Hariharan Amsakarunan & Ruban Kumar Rethinasabapathi,5200,BANK OF NINGBO Badminton Asia Championships 2025,2025,13 April,R16,,Aaron Chia & Wooi Yik Soh (2)
2,Hariharan AMSAKARUNAN & Ruban Kumar RETHINASABAPATHI,5251,Orleans Masters Badminton 2025 presented by VICTOR,2025,9 March,R32,,Junaidi ARIF & Roy King YAP (24)
2,Hariharan Amsakarunan & Ruban Kumar Rethinasabapathi,5242,YONEX German Open 2025,2025,2 March,R32,,Ching Heng Su & Guan Xun Wu
2,Hariharan AMSAKARUNAN & Ruban Kumar RETHINASABAPATHI,5221,PRINCESS SIRIVANNAVARI Thailand Masters 2025,2025,2 February,R16,,Min Hyuk KANG & Won Ho KIM
61,Treesa JOLLY & Gayatri Gopichand PULLELA,5236,KAPAL API Indonesia Open 2025,2025,8 June,R16,,Yuki FUKUSHIMA & Mayu MATSUMOTO (8)
61,Treesa JOLLY & Gayatri Gopichand PULLELA,5282,KFF Singapore Badminton Open 2025,2025,1 June,R16,,Yi Fan JIA & Shu Xian ZHANG (9)
61,Treesa JOLLY & Gayatri Gopichand PULLELA,5225,TOYOTA Thailand Open 2025,2025,18 May,R16,,Rui HIROKAMI & Sayaka HOBARA
61,Treesa JOLLY & Gayatri Gopichand PULLELA,5195,YONEX Swiss Open 2025,2025,23 March,SF,,Sheng Shu LIU & Ning TAN (1)
61,Treesa JOLLY & Gayatri Gopichand PULLELA,5238,YONEX All England Open Badminton Championships 2025,2025,16 March,QF,Hye Jeong KIM & Hee Yong KONG (7),Sheng Shu LIU & Ning TAN (1)
61,Treesa JOLLY & Gayatri Gopichand PULLELA,5192,TSINGTAO Badminton Asia Mixed Team Championship 2025,2025,16 February,QF,,Arisa IGARASHI & Ayako SAKURAMOTO (51)
61,Treesa Jolly & Gayatri Gopichand Pullela,5268,YONEX-SUNRISE India Open 2025,2025,19 January,R32,,Arisa Igarashi & Ayako Sakuramoto (51)
61,Treesa Jolly & Gayatri Gopichand Pullela,5222,PETRONAS Malaysia Open 2025,2025,12 January,R16,,Yi Fan Jia & Shu Xian Zhang (9)
116,Dhruv KAPILA & Tanisha CRASTO,5236,KAPAL API Indonesia Open 2025,2025,8 June,R32,,Tang Jie CHEN & Ee Wei TOH (4)
116,Dhruv KAPILA & Tanisha CRASTO,5282,KFF Singapore Badminton Open 2025,2025,1 June,R32,,Xing CHENG & Chi ZHANG (11)
116,Dhruv KAPILA & Tanisha CRASTO,5224,PERODUA Malaysia Masters 2025,2025,25 May,QF,,Zhen Bang JIANG & Ya Xin WEI (2)
116,Dhruv KAPILA & Tanisha CRASTO,5260,TotalEnergies BWF Sudirman Cup Finals 2025,2025,4 May,R2,,Jesper TOFT & Amalie MAGELUND (8)
116,Dhruv Kapila & Tanisha Crasto,5200,BANK OF NINGBO Badminton Asia Championships 2025,2025,13 April,QF,"Hong Wei Ye & Nicole Gonzales Chan (16), Pang Ron Hoo & Su Yin Cheng (13)",Chun Man Tang & Ying Suet Tse (3)
116,Dhruv KAPILA & Tanisha CRASTO,5238,YONEX All England Open Badminton Championships 2025,2025,16 March,R32,,Ruttanapak OUPTHONG & Jhenicha SUDJAIPRAPARAT (18)
116,Dhruv KAPILA & Tanisha CRASTO,5251,Orleans Masters Badminton 2025 presented by VICTOR,2025,9 March,R32,,Jong Min LEE & Yu Jung CHAE (74)
116,Dhruv Kapila & Tanisha Crasto,5242,YONEX German Open 2025,2025,2 March,SF,,Rehan Naufal Kusharjanto & Gloria Emanuelle Widjaja (19)
116,Dhruv KAPILA & Tanisha CRASTO,5192,TSINGTAO Badminton Asia Mixed Team Championship 2025,2025,16 February,QF,,Hiroki MIDORIKAWA & Natsu SAITO (9)
116,Dhruv Kapila & Tanisha Crasto,5234,DAIHATSU Indonesia Masters 2025,2025,26 January,R16,,Pang Ron Hoo & Su Yin Cheng (13)
116,Dhruv Kapila & Tanisha Crasto,5268,YONEX-SUNRISE India Open 2025,2025,19 January,R16,,Hiroki Midorikawa & Natsu Saito (9)
116,Dhruv Kapila & Tanisha Crasto,5222,PETRONAS Malaysia Open 2025,2025,12 January,R16,,Xing Cheng & Chi Zhang (11)
