athlete_id,athlete_name,tournament_date,world_ranking,world_tour_ranking,olympic_rank
68870,Lakshya SEN,2016-05-26,1527,,
68870,Lakshya SEN,2016-06-02,1520,,
68870,Lakshya SEN,2016-06-09,1529,,
68870,Lakshya SEN,2016-06-16,1521,,
68870,Lakshya SEN,2016-06-23,1544,,
68870,Lakshya SEN,2016-06-30,1539,,
68870,Lakshya SEN,2016-07-08,1556,,
68870,Lakshya SEN,2016-07-14,1572,,
68870,Lakshya SEN,2016-07-21,1552,,
68870,Lakshya SEN,2016-07-28,1545,,
68870,Lakshya SEN,2016-08-04,1534,,
68870,Lakshya SEN,2016-08-11,1534,,
68870,Lakshya SEN,2016-08-18,1534,,
68870,Lakshya SEN,2016-08-25,1533,,
68870,Lakshya SEN,2016-09-01,1513,,
68870,Lakshya SEN,2016-09-08,1533,,
68870,Lakshya SEN,2016-09-15,1511,,
68870,Lakshya SEN,2016-09-22,1498,,
68870,Lakshya SEN,2016-09-29,1480,,
68870,Lakshya SEN,2016-10-06,1450,,
68870,Lakshya SEN,2016-10-13,1435,,
68870,Lakshya SEN,2016-10-20,1424,,
68870,Lakshya SEN,2016-10-27,1437,,
68870,Lakshya SEN,2016-11-03,1424,,
68870,Lakshya SEN,2016-11-10,1428,,
68870,Lakshya SEN,2016-11-17,1391,,
68870,Lakshya SEN,2016-11-24,1391,,
68870,Lakshya SEN,2016-12-01,383,,
68870,Lakshya SEN,2016-12-08,307,,
68870,Lakshya SEN,2016-12-15,305,,
68870,Lakshya SEN,2016-12-22,296,,
68870,Lakshya SEN,2016-12-29,292,,
68870,Lakshya SEN,2017-01-05,292,,
68870,Lakshya SEN,2017-01-12,292,,
68870,Lakshya SEN,2017-01-19,293,,
68870,Lakshya SEN,2017-01-26,297,,
68870,Lakshya SEN,2017-02-02,219,,
68870,Lakshya SEN,2017-02-10,219,,
68870,Lakshya SEN,2017-02-16,222,,
68870,Lakshya SEN,2017-02-23,220,,
68870,Lakshya SEN,2017-03-02,219,,
68870,Lakshya SEN,2017-03-09,218,,
68870,Lakshya SEN,2017-03-16,222,,
68870,Lakshya SEN,2017-03-23,222,,
68870,Lakshya SEN,2017-03-30,217,,
68870,Lakshya SEN,2017-04-06,216,,
68870,Lakshya SEN,2017-04-13,213,,
68870,Lakshya SEN,2017-04-20,211,,
68870,Lakshya SEN,2017-04-27,209,,
68870,Lakshya SEN,2017-05-04,211,,
68870,Lakshya SEN,2017-05-11,195,,
68870,Lakshya SEN,2017-05-18,174,,
68870,Lakshya SEN,2017-05-25,174,,
68870,Lakshya SEN,2017-06-01,176,,
68870,Lakshya SEN,2017-06-08,173,,
68870,Lakshya SEN,2017-06-15,172,,
68870,Lakshya SEN,2017-06-22,172,,
68870,Lakshya SEN,2017-06-29,172,,
68870,Lakshya SEN,2017-07-06,169,,
68870,Lakshya SEN,2017-07-13,167,,
68870,Lakshya SEN,2017-07-20,163,,
68870,Lakshya SEN,2017-07-27,164,,
68870,Lakshya SEN,2017-08-03,165,,
68870,Lakshya SEN,2017-08-10,167,,
68870,Lakshya SEN,2017-08-17,167,,
68870,Lakshya SEN,2017-08-24,138,,
68870,Lakshya SEN,2017-08-30,139,,
68870,Lakshya SEN,2017-09-07,137,,
68870,Lakshya SEN,2017-09-14,109,,
68870,Lakshya SEN,2017-09-21,106,,
68870,Lakshya SEN,2017-09-28,105,,
68870,Lakshya SEN,2017-10-05,104,,
68870,Lakshya SEN,2017-10-12,104,,
68870,Lakshya SEN,2017-10-19,104,,
68870,Lakshya SEN,2017-10-26,104,,
68870,Lakshya SEN,2017-11-02,107,,
68870,Lakshya SEN,2017-11-09,108,,
68870,Lakshya SEN,2017-11-16,106,,
68870,Lakshya SEN,2017-11-23,110,,
68870,Lakshya SEN,2017-11-30,108,,
68870,Lakshya SEN,2017-12-07,89,,
68870,Lakshya SEN,2017-12-14,89,,
68870,Lakshya SEN,2017-12-21,86,,
68870,Lakshya SEN,2017-12-28,87,,
68870,Lakshya SEN,2018-01-04,87,,
68870,Lakshya SEN,2018-01-11,87,,
68870,Lakshya SEN,2018-01-18,90,,
68870,Lakshya SEN,2018-01-25,88,,
68870,Lakshya SEN,2018-02-02,108,,
68870,Lakshya SEN,2018-02-08,108,,
68870,Lakshya SEN,2018-02-15,108,,
68870,Lakshya SEN,2018-02-22,110,,
68870,Lakshya SEN,2018-03-01,114,,
68870,Lakshya SEN,2018-03-08,114,,
68870,Lakshya SEN,2018-03-15,113,,
68870,Lakshya SEN,2018-03-22,113,,
68870,Lakshya SEN,2018-03-29,111,,
68870,Lakshya SEN,2018-04-05,111,,
68870,Lakshya SEN,2018-04-12,101,,
68870,Lakshya SEN,2018-04-19,110,,
68870,Lakshya SEN,2018-04-26,108,,
68870,Lakshya SEN,2018-05-03,104,,
68870,Lakshya SEN,2018-05-10,99,92,
68870,Lakshya SEN,2018-05-17,88,84,
68870,Lakshya SEN,2018-05-24,88,84,
68870,Lakshya SEN,2018-05-31,72,84,
68870,Lakshya SEN,2018-06-07,69,84,
68870,Lakshya SEN,2018-06-14,69,84,
68870,Lakshya SEN,2018-06-21,69,91,
68870,Lakshya SEN,2018-06-28,70,95,
68870,Lakshya SEN,2018-07-05,70,95,
68870,Lakshya SEN,2018-07-12,71,95,
68870,Lakshya SEN,2018-07-19,76,97,
68870,Lakshya SEN,2018-07-26,76,97,
68870,Lakshya SEN,2018-08-02,77,102,
68870,Lakshya SEN,2018-08-09,78,102,
68870,Lakshya SEN,2018-08-16,96,105,
68870,Lakshya SEN,2018-08-23,119,105,
68870,Lakshya SEN,2018-08-30,119,105,
68870,Lakshya SEN,2018-09-06,120,106,
68870,Lakshya SEN,2018-09-13,111,101,
68870,Lakshya SEN,2018-09-20,112,101,
68870,Lakshya SEN,2018-09-27,86,83,
68870,Lakshya SEN,2018-10-04,86,83,
68870,Lakshya SEN,2018-10-11,87,86,
68870,Lakshya SEN,2018-10-18,88,89,
68870,Lakshya SEN,2018-10-25,87,89,
68870,Lakshya SEN,2018-11-01,87,89,
68870,Lakshya SEN,2018-11-08,91,98,
68870,Lakshya SEN,2018-11-15,90,98,
68870,Lakshya SEN,2018-11-22,91,98,
68870,Lakshya SEN,2018-11-29,115,101,
68870,Lakshya SEN,2018-12-06,110,101,
68870,Lakshya SEN,2018-12-13,108,101,
68870,Lakshya SEN,2018-12-20,109,101,
68870,Lakshya SEN,2018-12-27,109,101,
68870,Lakshya SEN,2019-01-02,109,101,
68870,Lakshya SEN,2019-01-08,109,101,
68870,Lakshya SEN,2019-01-15,109,101,
68870,Lakshya SEN,2019-01-22,108,101,
68870,Lakshya SEN,2019-01-29,106,101,
68870,Lakshya SEN,2019-02-05,104,101,
68870,Lakshya SEN,2019-02-12,106,101,
68870,Lakshya SEN,2019-02-19,105,101,
68870,Lakshya SEN,2019-02-26,104,89,
68870,Lakshya SEN,2019-03-05,105,92,
68870,Lakshya SEN,2019-03-12,104,96,
68870,Lakshya SEN,2019-03-19,76,60,
68870,Lakshya SEN,2019-03-26,78,63,
68870,Lakshya SEN,2019-04-02,70,64,
68870,Lakshya SEN,2019-04-09,73,67,
68870,Lakshya SEN,2019-04-16,71,68,
68870,Lakshya SEN,2019-04-23,71,68,
68870,Lakshya SEN,2019-04-30,71,68,
68870,Lakshya SEN,2019-05-07,75,62,26
68870,Lakshya SEN,2019-05-14,75,62,16
68870,Lakshya SEN,2019-05-21,77,62,20
68870,Lakshya SEN,2019-05-28,81,62,36
68870,Lakshya SEN,2019-06-04,81,62,36
68870,Lakshya SEN,2019-06-11,80,62,48
68870,Lakshya SEN,2019-06-18,79,62,58
68870,Lakshya SEN,2019-06-25,78,62,58
68870,Lakshya SEN,2019-07-02,82,62,68
68870,Lakshya SEN,2019-07-09,77,61,62
68870,Lakshya SEN,2019-07-16,71,55,43
68870,Lakshya SEN,2019-07-23,72,57,53
68870,Lakshya SEN,2019-07-30,69,57,64
68870,Lakshya SEN,2019-08-06,70,59,71
68870,Lakshya SEN,2019-08-13,74,58,69
68870,Lakshya SEN,2019-08-20,75,61,72
68870,Lakshya SEN,2019-08-27,76,61,79
68870,Lakshya SEN,2019-09-03,77,61,83
68870,Lakshya SEN,2019-09-10,79,63,92
68870,Lakshya SEN,2019-09-17,67,63,66
68870,Lakshya SEN,2019-09-24,73,63,72
68870,Lakshya SEN,2019-10-01,66,64,76
68870,Lakshya SEN,2019-10-08,72,65,76
68870,Lakshya SEN,2019-10-15,52,54,46
68870,Lakshya SEN,2019-10-22,52,54,50
68870,Lakshya SEN,2019-10-29,51,54,54
68870,Lakshya SEN,2019-11-05,42,45,42
68870,Lakshya SEN,2019-11-12,42,45,43
68870,Lakshya SEN,2019-11-19,41,46,42
68870,Lakshya SEN,2019-11-26,40,47,39
68870,Lakshya SEN,2019-12-03,41,47,34
68870,Lakshya SEN,2019-12-10,41,47,34
68870,Lakshya SEN,2019-12-17,32,47,28
68870,Lakshya SEN,2019-12-24,32,47,28
68870,Lakshya SEN,2019-12-31,32,47,28
68870,Lakshya SEN,2020-01-07,32,47,28
68870,Lakshya SEN,2020-01-14,30,27,30
68870,Lakshya SEN,2020-01-21,30,36,30
68870,Lakshya SEN,2020-01-28,32,42,30
68870,Lakshya SEN,2020-02-04,32,42,30
68870,Lakshya SEN,2020-02-11,31,42,30
68870,Lakshya SEN,2020-02-18,28,42,30
68870,Lakshya SEN,2020-02-25,29,49,31
68870,Lakshya SEN,2020-03-03,29,49,31
68870,Lakshya SEN,2020-03-10,29,49,31
68870,Lakshya SEN,2020-03-17,27,33,25
68870,Lakshya SEN,2021-02-02,28,33,
68870,Lakshya SEN,2021-02-09,28,33,
68870,Lakshya SEN,2021-02-16,28,33,
68870,Lakshya SEN,2021-02-23,28,33,
68870,Lakshya SEN,2021-03-02,28,33,
68870,Lakshya SEN,2021-03-09,28,17,26
68870,Lakshya SEN,2021-03-16,28,17,26
68870,Lakshya SEN,2021-03-23,23,7,26
68870,Lakshya SEN,2021-03-30,23,11,26
68870,Lakshya SEN,2021-04-06,23,11,26
68870,Lakshya SEN,2021-04-13,23,11,26
68870,Lakshya SEN,2021-04-20,23,11,26
68870,Lakshya SEN,2021-04-27,23,11,26
68870,Lakshya SEN,2021-05-04,23,11,26
68870,Lakshya SEN,2021-05-11,23,11,26
68870,Lakshya SEN,2021-05-18,23,11,26
68870,Lakshya SEN,2021-05-25,23,16,26
68870,Lakshya SEN,2021-06-01,23,16,26
68870,Lakshya SEN,2021-06-08,23,16,26
68870,Lakshya SEN,2021-06-15,23,16,26
68870,Lakshya SEN,2021-06-22,23,16,
68870,Lakshya SEN,2021-06-29,23,16,
68870,Lakshya SEN,2021-07-06,23,16,
68870,Lakshya SEN,2021-07-13,23,16,
68870,Lakshya SEN,2021-07-20,23,16,
68870,Lakshya SEN,2021-07-27,23,16,
68870,Lakshya SEN,2021-08-03,24,16,
68870,Lakshya SEN,2021-08-10,24,16,
68870,Lakshya SEN,2021-08-17,24,16,
68870,Lakshya SEN,2021-08-24,24,16,
68870,Lakshya SEN,2021-08-31,24,16,
68870,Lakshya SEN,2021-09-07,24,16,
68870,Lakshya SEN,2021-09-14,24,16,
68870,Lakshya SEN,2021-09-21,24,16,
68870,Lakshya SEN,2021-09-28,24,16,
68870,Lakshya SEN,2021-10-05,25,16,
68870,Lakshya SEN,2021-10-12,25,16,
68870,Lakshya SEN,2021-10-19,25,16,
68870,Lakshya SEN,2021-10-26,22,9,
68870,Lakshya SEN,2021-11-02,21,5,
68870,Lakshya SEN,2021-11-09,19,4,
68870,Lakshya SEN,2021-11-16,19,4,
68870,Lakshya SEN,2021-11-23,19,5,
68870,Lakshya SEN,2021-11-30,21,6,
68870,Lakshya SEN,2021-12-07,19,6,
68870,Lakshya SEN,2021-12-14,19,6,
68870,Lakshya SEN,2021-12-21,17,6,
68870,Lakshya SEN,2021-12-28,17,6,
68870,Lakshya SEN,2022-01-04,17,6,
68870,Lakshya SEN,2022-01-11,17,6,
68870,Lakshya SEN,2022-01-18,13,1,
68870,Lakshya SEN,2022-01-25,13,3,
68870,Lakshya SEN,2022-02-01,13,6,
68870,Lakshya SEN,2022-02-08,13,6,
68870,Lakshya SEN,2022-02-15,13,6,
68870,Lakshya SEN,2022-02-22,12,6,
68870,Lakshya SEN,2022-03-01,12,6,
68870,Lakshya SEN,2022-03-08,12,6,
68870,Lakshya SEN,2022-03-15,11,1,
68870,Lakshya SEN,2022-03-22,9,1,
68870,Lakshya SEN,2022-03-29,9,1,
68870,Lakshya SEN,2022-04-05,9,1,
68870,Lakshya SEN,2022-04-12,9,1,
68870,Lakshya SEN,2022-04-19,9,1,
68870,Lakshya SEN,2022-04-26,9,1,
68870,Lakshya SEN,2022-05-03,9,1,
68870,Lakshya SEN,2022-05-10,9,1,
68870,Lakshya SEN,2022-05-17,9,1,
68870,Lakshya SEN,2022-05-24,9,1,
68870,Lakshya SEN,2022-05-31,9,1,
68870,Lakshya SEN,2022-06-07,9,1,
68870,Lakshya SEN,2022-06-14,10,1,
68870,Lakshya SEN,2022-06-21,10,2,
68870,Lakshya SEN,2022-06-28,10,2,
68870,Lakshya SEN,2022-07-05,10,5,
68870,Lakshya SEN,2022-07-12,10,7,
68870,Lakshya SEN,2022-07-19,10,8,
68870,Lakshya SEN,2022-07-26,10,9,
68870,Lakshya SEN,2022-08-02,10,9,
68870,Lakshya SEN,2022-08-09,10,9,
68870,Lakshya SEN,2022-08-16,10,9,
68870,Lakshya SEN,2022-08-23,10,9,
68870,Lakshya SEN,2022-08-30,10,9,
68870,Lakshya SEN,2022-09-06,9,9,
68870,Lakshya SEN,2022-09-13,9,9,
68870,Lakshya SEN,2022-09-20,9,9,
68870,Lakshya SEN,2022-09-27,9,9,
68870,Lakshya SEN,2022-10-04,9,10,
