athlete_id,tournament_name,final_position,tournament_grade,tournament_year,notable_wins,lost_to
58664,CM TROPHY India International Challenge 2024,QF,G1_CC,2024,,Isharani BARUAH (79)
58664,NMDC - TELANGANA International Challenge 2024,SF,G1_CC,2024,,Rakshitha Sree SANTHOSH RAMRAJ (43)
58664,Syed Modi India International 2024,R32,300,2024,,V. Sindhu Pusarla (21)
58664,WONDR by BNI Indonesia International Challenge 2024,R32,G1_CC,2024,,Riko GUNJI (31)
58664,YONEX-SUNRISE Odisha Masters 2024,QF,100,2024,,Tanvi Sharma (70)
59687,Baoji China Masters 2024,QF,100,2024,,Luo Yu Wu (56)
59687,CLASH ROYALE Arctic Open 2024 powered by YONEX,R16,500,2024,,Michelle Li (18)
59687,LI NING Sri Lanka International Challenge 2024,R32,G1_CC,2024,,Sadhana Fenelon
59687,PERODUA Malaysia Masters 2024,R32,500,2024,,Fang Jie GAO (14)
59687,Syed Modi India International 2024,SF,300,2024,Pornpicha Choeikeewong (32),V. Sindhu Pusarla (21)
59687,TOYOTA Thailand Open 2024,R32,500,2024,,Lianne Tan
59687,VICTOR Denmark Open 2024,R32,750,2024,,Lauren Lam (40)
59687,WONDR by BNI Indonesia International Challenge 2024,R16,G1_CC,2024,,Ga Ram KIM
59687,YONEX Luxembourg Open 2024,R16,G1_CC,2024,,Tara Shah
59687,YONEX-SUNRISE Guwahati Masters 2024,R32,100,2024,,Shriyanshi Valishetty (76)
68322,32nd Iran Fajr International Challenge 2024,SF,G1_CC,2024,,Sathish Kumar Karunakaran (48)
68322,Azerbaijan International 2024,SF,G1_CC,2024,,Hyeok Jin JEON (40)
68322,Baoji China Masters 2024,SF,100,2024,,Zhe An Hu (86)
68322,CIPUTRA HANOI - YONEX SUNRISE Vietnam International Challenge 2024,R32,G1_CC,2024,,Panitchaphon Teeraratsakul (56)
68322,Hylo Open 2024,SF,300,2024,,Christo Popov (20)
68322,Ruichang China Masters 2024,QF,100,2024,,Tian Yao Dong
68322,Sands China Ltd. Macau Open Badminton 2024,R16,300,2024,,Srikanth Kidambi (50)
68322,Syed Modi India International 2024,QF,300,2024,,Shogo Ogawa (60)
68322,TOYOTA International Challenge 2024,SF,G1_CC,2024,,Ikhsan Leonardo Imanuel Rumbay
68322,YONEX Canada Open 2024,R32,500,2024,,Koki Watanabe (16)
68322,YONEX US Open 2024,R32,300,2024,,Jia Heng Jason Teh (24)
68322,YONEX-SUNRISE Guwahati Masters 2024,QF,100,2024,,June Wei Cheam (58)
68322,YONEX-SUNRISE Odisha Masters 2024,QF,100,2024,,Sathish Kumar Karunakaran (48)
68870,BANK OF NINGBO Badminton Asia Championships 2024,R32,G1_CC,2024,,Yu Qi SHI (2)
68870,CLASH ROYALE Arctic Open 2024 powered by YONEX,R16,500,2024,,Tien Chen Chou (7)
68870,DAIHATSU Indonesia Masters 2024,R16,500,2024,Hong Yang Weng (12),Anders Antonsen (3)
68870,KAPAL API Indonesia Open 2024,QF,1000,2024,Kenta Nishimoto (13),Anders Antonsen (3)
68870,KFF Singapore Badminton Open 2024,R32,750,2024,,Viktor Axelsen (9)
68870,Kumamoto Masters Japan 2024,R32,500,2024,,Jun Hao LEONG (25)
68870,LI-NING China Masters 2024,QF,750,2024,Zii Jia Lee (15),Anders Antonsen (3)
68870,PETRONAS Malaysia Open 2024,R32,1000,2024,,Hong Yang Weng (12)
68870,VICTOR Denmark Open 2024,R32,750,2024,,Guang Zu Lu (11)
68870,YONEX All England Open Badminton Championships 2024,SF,1000,2024,"Anders Antonsen (3), Zii Jia Lee (15)",Jonatan Christie (5)
68870,YONEX French Open 2024,SF,750,2024,"Shi Feng Li (4), Kean Yew Loh (10)",Kunlavut Vitidsarn (1)
68870,YONEX SUNRISE India Open 2024,R32,750,2024,,Priyanshu Rajawat (35)
68870,YONEX Swiss Open 2024,R16,300,2024,,Chia Hao Lee (19)
69093,BANK OF NINGBO Badminton Asia Championships 2024,R32,G1_CC,2024,,Zii Jia LEE (15)
69093,DAIHATSU Indonesia Masters 2024,R16,500,2024,Rasmus Gemke (28),Brian Yang (34)
69093,KAPAL API Indonesia Open 2024,R16,1000,2024,H. S. Prannoy (33),Kunlavut Vitidsarn (1)
69093,KFF Singapore Badminton Open 2024,R32,750,2024,,Cheuk Yiu Lee (21)
69093,LI-NING China Masters 2024,R32,750,2024,,Chico  Aura Dwi Wardoyo (44)
69093,LI-NING Hong Kong Open 2024,R32,500,2024,,Takuma Obayashi (41)
69093,Syed Modi India International 2024,SF,300,2024,,Jia Heng Jason Teh (24)
69093,VICTOR China Open 2024,R32,1000,2024,,Brian YANG (34)
69093,YONEX All England Open Badminton Championships 2024,R32,1000,2024,,Chico  Aura Dwi Wardoyo (44)
69093,YONEX Canada Open 2024,SF,500,2024,"Rasmus Gemke (28), Anders Antonsen (3)",Alex Lanier (8)
69093,YONEX French Open 2024,R32,750,2024,,Viktor Axelsen (9)
69093,YONEX SUNRISE India Open 2024,R16,750,2024,Lakshya Sen (18),H. S. Prannoy (33)
69093,YONEX Swiss Open 2024,QF,300,2024,"Cheuk Yiu Lee (21), Lan Xi Lei (27)",Tien Chen Chou (7)
69093,YONEX US Open 2024,QF,300,2024,,Lan Xi Lei (27)
69093,YONEX-SUNRISE Guwahati Masters 2024,R16,100,2024,,Tharun Mannepalli (54)
70595,CM TROPHY India International Challenge 2024,SF,G1_CC,2024,Tanvi SHARMA (70),Rakshitha Sree SANTHOSH RAMRAJ (43)
70595,LI NING Sri Lanka International Challenge 2024,R32,G1_CC,2024,,Siti Zulaikha
70595,LI NING Sri Lanka International Series 2024,R16,G1_CC,2024,,Navya KANDERI
70595,NMDC - TELANGANA International Challenge 2024,R16,G1_CC,2024,,Shreya LELE (88)
70595,STATE Denmark Challenge 2024 presented by RSL,R16,G1_CC,2024,,Anupama Upadhyaya (42)
70595,Syed Modi India International 2024,QF,300,2024,Malvika Bansod (23),Luo Yu Wu (56)
70595,TOYOTA International Challenge 2024,R32,G1_CC,2024,,Karupathevan Letshanaa (51)
70595,VICTOR Türkiye International Challenge 2024,R16,G1_CC,2024,,Anna Tatranova (90)
70595,WONDR by BNI Indonesia International Challenge 2024,R32,G1_CC,2024,,Saranporn SOMBUTWATTHANANUKOOL
70595,YONEX-SUNRISE Guwahati Masters 2024,R16,100,2024,Unnati Hooda (38),Luo Yu Wu (56)
70595,YONEX-SUNRISE Odisha Masters 2024,SF,100,2024,"Wang Dai (64), Sin Yan Happy Lo (54)",Tanvi Sharma (70)
70595,YONEX-SUNRISE Vietnam Open 2024,R32,100,2024,,Ciou-Tong Tung (53)
73173,BANK OF NINGBO Badminton Asia Championships 2024,R16,G1_CC,2024,,Yue HAN (4)
73173,CLASH ROYALE Arctic Open 2024 powered by YONEX,R32,500,2024,,Michelle Li (18)
73173,KAPAL API Indonesia Open 2024,R32,1000,2024,,Wen Chi Hsu (25)
