athlete_id,tournament_name,final_position,tournament_grade,tournament_year,tournament_date,notable_wins,lost_to
58664,KFF Singapore Badminton Open 2025,R32,750,2025,27-May-2025,,Yu Fei CHEN (5)
58664,YONEX Taipei Open 2025,R32,300,2025,11-May-2025,,Thamonwan NITHIITTIKRAI (72)
58664,YONEX Swiss Open 2025,R32,300,2025,23-Mar-2025,,Anupama UPADHYAYA (42)
58664,YONEX German Open 2025,R32,300,2025,25-Feb-2025,,Riko Gunji (31)
59687,KFF Singapore Badminton Open 2025,R32,750,2025,27-May-2025,,Zhi Yi WANG (2)
59687,PERODUA Malaysia Masters 2025,R32,500,2025,25-May-2025,,Hsiang Ti LIN (29)
59687,TOYOTA Thailand Open 2025,R32,500,2025,18-May-2025,,Pornpawee CHOCHUWONG (8)
59687,YONEX Taipei Open 2025,R32,300,2025,11-May-2025,,Tomoka MIYAZAKI (7)
59687,CIPUTRA HANOI - YONEX SUNRISE Vietnam International Challenge 2025,R32,G1_CC,2025,30-Mar-2025,,Yi En HSIEH
59687,Orleans Masters Badminton 2025 presented by VICTOR,R32,300,2025,09-Mar-2025,,Se Young AN (1)
68322,PERODUA Malaysia Masters 2025,R32,500,2025,25-May-2025,Brian YANG (34),Toma Junior POPOV (17)
68322,YONEX Taipei Open 2025,R32,300,2025,11-May-2025,"Chia Hao LEE (19), Brian YANG (34)",Tien Chen CHOU (7)
68322,Orleans Masters Badminton 2025 presented by VICTOR,R32,300,2025,09-Mar-2025,"Kean Yew LOH (10), Rasmus GEMKE (28)",Chun-Yi LIN (14)
68322,YONEX German Open 2025,R32,300,2025,25-Feb-2025,,Jason Gunawan (42)
68322,PRINCESS SIRIVANNAVARI Thailand Masters 2025,R32,300,2025,28-Jan-2025,,Jing Hong KOK (76)
68322,DAIHATSU Indonesia Masters 2025,R32,500,2025,26-Jan-2025,,Yu Qi Shi (2)
68870,KAPAL API Indonesia Open 2025,R32,1000,2025,08-Jun-2025,,Yu Qi SHI (2)
68870,KFF Singapore Badminton Open 2025,R32,750,2025,27-May-2025,,Chun-Yi LIN (14)
68870,TOYOTA Thailand Open 2025,R32,500,2025,18-May-2025,,Nhat NGUYEN (32)
68870,BANK OF NINGBO Badminton Asia Championships 2025,R32,G1_CC,2025,13-Apr-2025,,Chia Hao Lee (19)
68870,YONEX All England Open Badminton Championships 2025,R32,1000,2025,16-Mar-2025,Jonatan CHRISTIE (5),Shi Feng LI (4)
68870,DAIHATSU Indonesia Masters 2025,R32,500,2025,26-Jan-2025,,Kenta Nishimoto (13)
68870,YONEX-SUNRISE India Open 2025,R32,750,2025,19-Jan-2025,,Chun-Yi Lin (14)
68870,PETRONAS Malaysia Open 2025,R32,1000,2025,12-Jan-2025,,Yu Jen Chi (31)
69093,KFF Singapore Badminton Open 2025,R32,750,2025,27-May-2025,,Kodai NARAOKA (6)
69093,PERODUA Malaysia Masters 2025,R32,500,2025,25-May-2025,,Jia Heng Jason TEH (24)
69093,TOYOTA Thailand Open 2025,R32,500,2025,18-May-2025,,Alwi FARHAN (29)
69093,BANK OF NINGBO Badminton Asia Championships 2025,R32,G1_CC,2025,13-Apr-2025,,Kodai Naraoka (6)
69093,YONEX Swiss Open 2025,R32,300,2025,23-Mar-2025,,Toma Junior POPOV (17)
