athlete_id,R32_Super_100,R32_Super_300,R32_Super_500,R32_Super_750,R32_Super_1000,R32_Super_G1_CC,R16_Super_100,R16_Super_300,R16_Super_500,R16_Super_750,R16_Super_1000,R16_Super_G1_CC,QF_Super_100,QF_Super_300,QF_Super_500,QF_Super_750,QF_Super_1000,QF_Super_G1_CC,SF_Super_100,SF_Super_300,SF_Super_500,SF_Super_750,SF_Super_1000,SF_Super_G1_CC,F_Super_100,F_Super_300,F_Super_500,F_Super_750,F_Super_1000,F_Super_G1_CC
68870,,,1,2,2,1,,,1,,,,,,,,1,,,,,,,,,,,,,
83950,,1,,1,2,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,
68322,,3,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,
69093,,1,3,2,1,,,2,,,,1,,,,,,,,,,,,,,,,,,
82572,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,
73173,,1,2,,1,,,,,1,1,1,,,,1,,,,,,,,,,,,,,
59687,,1,1,1,,1,,,1,,,,,1,,,,,,,,,,,,,,,,
74481,,2,2,1,2,1,,1,,1,,,,,,,,,,,,,,,,,,,,
91807,,2,2,2,1,,,,,,,,,2,,,,,,,,,,,,,,,,
58664,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
99042,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,
70595,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
97168,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
