,head_to_head_stats_id,main_athlete_id,main_athlete_name,opponent_athlete_id,opponent_athlete_name,tournament_id,tournament_name,tournament_date,round_name,result_for_main_id,main_id,winner
3,4147,71612,Treesa JOLLY,96877,Polina BUHROVA,5236,KAPAL API Indonesia Open 2025,2025-06-03,R32,Win,71612,2
5,3374,72435,Satwiksairaj RANKIREDDY,78409,Wei Chong MAN,5236,KAPAL API Indonesia Open 2025,2025-06-03,QF,Loss,72435,2
6,3375,72435,Satwiksairaj RANKIREDDY,64729,Rasmus KJÆR,5236,KAPAL API Indonesia Open 2025,2025-06-03,R16,Win,72435,2
7,3376,72435,Satwiksairaj RANKIREDDY,68633,Leo Rolly CARNANDO,5236,KAPAL API Indonesia Open 2025,2025-06-03,R32,Win,72435,2
8,1751,73173,V. Sindhu PUSARLA,84062,Pornpawee CHOCHUWONG,5236,KAPAL API Indonesia Open 2025,2025-06-03,R16,Loss,73173,1
9,1752,73173,V. Sindhu PUSARLA,96713,Nozomi OKUHARA,5236,KAPAL API Indonesia Open 2025,2025-06-03,R32,Win,73173,1
10,4665,57372,DHRUV KAPILA,91090,Tang Jie CHEN,5236,KAPAL API Indonesia Open 2025,2025-06-03,R32,Loss,57372,2
13,44,83950,H. S. PRANNOY,58089,Alwi FARHAN,5236,KAPAL API Indonesia Open 2025,2025-06-03,R32,Loss,83950,2
21,3378,72435,Satwiksairaj RANKIREDDY,90768,Sze Fei GOH,5282,KFF Singapore Badminton Open 2025,2025-05-27,QF,Win,72435,1
24,1830,74481,Anupama UPADHYAYA,88807,Shuo Yun SUNG,5282,KFF Singapore Badminton Open 2025,2025-05-27,R32,Loss,74481,1
25,4134,71612,Treesa JOLLY,65144,Yi Fan JIA,5282,KFF Singapore Badminton Open 2025,2025-05-27,R16,Loss,71612,1
26,3377,72435,Satwiksairaj RANKIREDDY,56203,Aaron CHIA,5282,KFF Singapore Badminton Open 2025,2025-05-27,SF,Loss,72435,1
27,45,83950,H. S. PRANNOY,72885,Christo POPOV,5282,KFF Singapore Badminton Open 2025,2025-05-27,R16,Loss,83950,1
28,3379,72435,Satwiksairaj RANKIREDDY,87432,Sabar Karyaman GUTAMA,5282,KFF Singapore Badminton Open 2025,2025-05-27,R16,Win,72435,1
29,3380,72435,Satwiksairaj RANKIREDDY,56350,Hon Jian CHOONG,5282,KFF Singapore Badminton Open 2025,2025-05-27,R32,Win,72435,1
