,head_to_head_stats_id,main_athlete_id,main_athlete_name,opponent_athlete_id,opponent_athlete_name,tournament_id,tournament_name,tournament_date,round_name,result_for_main_id,main_id,winner
0,2632,66778,Annanya PRAVIN,66369,Marie CESARI,5400,VICTOR Latvia International 2025,2025-06-11,R32,Loss,66778,2
1,5050,44457,Ayush DASH,61088,Clarence CHAU,5347,Guaraní Open 2025,2025-06-04,QF,Loss,44457,2
2,5051,44457,Ayush DASH,59325,Jose RENDON CHIRINOS,5347,Guaraní Open 2025,2025-06-04,R16,Win,44457,1
3,4147,71612,Treesa JOLLY,96877,Polina BUHROVA,5236,KAPAL API Indonesia Open 2025,2025-06-03,R32,Win,71612,2
4,4728,79164,Sathish Kumar KARUNAKARAN,81108,Hong Wei YE,5236,KAPAL API Indonesia Open 2025,2025-06-03,R32,Win,79164,2
5,3374,72435,Satwiksairaj RANKIREDDY,78409,Wei Chong MAN,5236,KAPAL API Indonesia Open 2025,2025-06-03,QF,Loss,72435,2
6,3375,72435,Satwiksairaj RANKIREDDY,64729,Rasmus KJÆR,5236,KAPAL API Indonesia Open 2025,2025-06-03,R16,Win,72435,2
7,3376,72435,Satwiksairaj RANKIREDDY,68633,Leo Rolly CARNANDO,5236,KAPAL API Indonesia Open 2025,2025-06-03,R32,Win,72435,2
8,1751,73173,V. Sindhu PUSARLA,84062,Pornpawee CHOCHUWONG,5236,KAPAL API Indonesia Open 2025,2025-06-03,R16,Loss,73173,1
9,1752,73173,V. Sindhu PUSARLA,96713,Nozomi OKUHARA,5236,KAPAL API Indonesia Open 2025,2025-06-03,R32,Win,73173,1
10,4665,57372,DHRUV KAPILA,91090,Tang Jie CHEN,5236,KAPAL API Indonesia Open 2025,2025-06-03,R32,Loss,57372,2
11,4727,79164,Sathish Kumar KARUNAKARAN,61731,Dechapol PUAVARANUKROH,5236,KAPAL API Indonesia Open 2025,2025-06-03,R16,Loss,79164,2
12,4695,60980,Rohan KAPOOR,79501,Yuichi SHIMOGAMI,5236,KAPAL API Indonesia Open 2025,2025-06-03,R32,Loss,60980,2
13,44,83950,H. S. PRANNOY,58089,Alwi FARHAN,5236,KAPAL API Indonesia Open 2025,2025-06-03,R32,Loss,83950,2
14,2871,70319,Naishaa Kaur BHATOYE,50959,Tonrug SAEHENG,5312,YONEX 3 Borders 2025,2025-05-30,SF,Loss,70319,2
15,2872,70319,Naishaa Kaur BHATOYE,68086,AméLie MAIXNEROVÁ,5312,YONEX 3 Borders 2025,2025-05-30,QF,Win,70319,1
16,2874,70319,Naishaa Kaur BHATOYE,63446,Nishka SHARMA,5312,YONEX 3 Borders 2025,2025-05-30,R32,Win,70319,1
17,2873,70319,Naishaa Kaur BHATOYE,46414,Sara DEL CASTILLO,5312,YONEX 3 Borders 2025,2025-05-30,R16,Win,70319,1
18,2216,89501,Aashi RAWAT,77801,Zuzanna JANKOWSKA,5390,YONEX Bonn International 2025,2025-05-28,R32,Win,89501,2
19,2214,89501,Aashi RAWAT,65401,Rachel SUGDEN,5390,YONEX Bonn International 2025,2025-05-28,QF,Loss,89501,1
20,2215,89501,Aashi RAWAT,50001,Zhi Shin LIM,5390,YONEX Bonn International 2025,2025-05-28,R16,Win,89501,2
21,3378,72435,Satwiksairaj RANKIREDDY,90768,Sze Fei GOH,5282,KFF Singapore Badminton Open 2025,2025-05-27,QF,Win,72435,1
22,4697,60980,Rohan KAPOOR,62618,ZHI YI CHEN,5282,KFF Singapore Badminton Open 2025,2025-05-27,R32,Win,60980,1
23,91,68317,Kiran GEORGE,77042,Hong Yang WENG,5282,KFF Singapore Badminton Open 2025,2025-05-27,R32,Loss,68317,2
24,1830,74481,Anupama UPADHYAYA,88807,Shuo Yun SUNG,5282,KFF Singapore Badminton Open 2025,2025-05-27,R32,Loss,74481,1
25,4134,71612,Treesa JOLLY,65144,Yi Fan JIA,5282,KFF Singapore Badminton Open 2025,2025-05-27,R16,Loss,71612,1
26,3377,72435,Satwiksairaj RANKIREDDY,56203,Aaron CHIA,5282,KFF Singapore Badminton Open 2025,2025-05-27,SF,Loss,72435,1
27,45,83950,H. S. PRANNOY,72885,Christo POPOV,5282,KFF Singapore Badminton Open 2025,2025-05-27,R16,Loss,83950,1
28,3379,72435,Satwiksairaj RANKIREDDY,87432,Sabar Karyaman GUTAMA,5282,KFF Singapore Badminton Open 2025,2025-05-27,R16,Win,72435,1
29,3380,72435,Satwiksairaj RANKIREDDY,56350,Hon Jian CHOONG,5282,KFF Singapore Badminton Open 2025,2025-05-27,R32,Win,72435,1
30,46,83950,H. S. PRANNOY,62855,Rasmus GEMKE,5282,KFF Singapore Badminton Open 2025,2025-05-27,R32,Win,83950,2
31,1794,59687,Unnati HOODA,61854,Zhi Yi WANG,5282,KFF Singapore Badminton Open 2025,2025-05-27,R32,Loss,59687,2
32,1753,73173,V. Sindhu PUSARLA,78778,Yu Fei CHEN,5282,KFF Singapore Badminton Open 2025,2025-05-27,R16,Loss,73173,1
33,4696,60980,Rohan KAPOOR,77689,Chun Man TANG,5282,KFF Singapore Badminton Open 2025,2025-05-27,R16,Loss,60980,2
34,1779,88471,Malvika BANSOD,91422,Supanida KATETHONG,5282,KFF Singapore Badminton Open 2025,2025-05-27,R32,Loss,88471,1
35,1890,80402,AAKARSHI KASHYAP,92967,Yue HAN,5282,KFF Singapore Badminton Open 2025,2025-05-27,R32,Loss,80402,1
36,4365,87492,Amrutha PRAMUTHESH,58488,Gronya SOMERVILLE,5282,KFF Singapore Badminton Open 2025,2025-05-27,R16,Loss,87492,1
37,1754,73173,V. Sindhu PUSARLA,91560,Wen Yu ZHANG,5282,KFF Singapore Badminton Open 2025,2025-05-27,R32,Win,73173,1
38,1,68870,Lakshya SEN,86114,Chun-Yi LIN,5282,KFF Singapore Badminton Open 2025,2025-05-27,R32,Loss,68870,2
39,1854,91807,Rakshitha Sree SANTHOSH RAMRAJ,70930,Ga Eun KIM,5282,KFF Singapore Badminton Open 2025,2025-05-27,R32,Loss,91807,2
40,4276,81043,Vaishnavi KHADKEKAR,58488,Gronya SOMERVILLE,5282,KFF Singapore Badminton Open 2025,2025-05-27,R32,Loss,81043,2
41,4666,57372,DHRUV KAPILA,58931,Xing CHENG,5282,KFF Singapore Badminton Open 2025,2025-05-27,R32,Loss,57372,1
42,123,69093,Priyanshu RAJAWAT,62063,Kodai NARAOKA,5282,KFF Singapore Badminton Open 2025,2025-05-27,R32,Loss,69093,1
43,2334,74880,Adita RAO,70651,Amalie SCHULZ,5395,Austrian Open 2025,2025-05-22,SF,Loss,74880,1
44,2609,97168,AALISHA NAIK,62164,Shahidi SHANEESA,5395,Austrian Open 2025,2025-05-22,Qual. R64,Win,97168,2
45,2608,97168,AALISHA NAIK,83887,Olivia KADLECOVA,5395,Austrian Open 2025,2025-05-22,Qual. R32,Win,97168,2
46,2607,97168,AALISHA NAIK,71728,Katharina NILGES,5395,Austrian Open 2025,2025-05-22,Qual. R16,Win,97168,2
47,2606,97168,AALISHA NAIK,96751,Deepshikha SINGH,5395,Austrian Open 2025,2025-05-22,R32,Win,97168,2
48,2605,97168,AALISHA NAIK,66485,Ga Eun PARK,5395,Austrian Open 2025,2025-05-22,QF,Win,97168,2
49,2604,97168,AALISHA NAIK,75628,Ashmita CHALIHA,5395,Austrian Open 2025,2025-05-22,R16,Win,97168,1
50,2603,97168,AALISHA NAIK,71280,Yuan Chi LIAO,5395,Austrian Open 2025,2025-05-22,SF,Win,97168,1
51,2602,97168,AALISHA NAIK,70651,Amalie SCHULZ,5395,Austrian Open 2025,2025-05-22,Final,Loss,97168,1
52,2304,96751,Deepshikha SINGH,97168,AALISHA NAIK,5395,Austrian Open 2025,2025-05-22,R32,Loss,96751,2
53,2399,83984,Aditi BHATT,65556,Xin Yi Megan LEE,5395,Austrian Open 2025,2025-05-22,R32,Win,83984,2
54,1361,84479,Lokesh Reddy KALAGOTLA,86567,Miha IVANČIČ,5395,Austrian Open 2025,2025-05-22,Qual. R64,Win,84479,2
55,2336,74880,Adita RAO,79188,Petra MAIXNEROVÁ,5395,Austrian Open 2025,2025-05-22,QF,Win,74880,1
56,4559,83984,Aditi BHATT,65057,Hsin En HUNG,5395,Austrian Open 2025,2025-05-22,R16,Win,83984,1
57,4560,83984,Aditi BHATT,77589,Elsa JACOB,5395,Austrian Open 2025,2025-05-22,QF,Loss,83984,1
58,2482,79180,YASHVI BHAT,73321,Ler Qi ENG,5395,Austrian Open 2025,2025-05-22,Qual. R32,Loss,79180,2
59,2337,74880,Adita RAO,77296,Ling Ching WONG,5395,Austrian Open 2025,2025-05-22,R32,Win,74880,2
60,2217,89501,Aashi RAWAT,79188,Petra MAIXNEROVÁ,5395,Austrian Open 2025,2025-05-22,R32,Loss,89501,1
61,2335,74880,Adita RAO,90839,Freya REDFEARN,5395,Austrian Open 2025,2025-05-22,R16,Win,74880,1
62,153,79164,Sathish Kumar KARUNAKARAN,72885,Christo POPOV,5224,PERODUA Malaysia Masters 2025,2025-05-20,R16,Loss,79164,2
63,47,83950,H. S. PRANNOY,86672,Yushi TANAKA,5224,PERODUA Malaysia Masters 2025,2025-05-20,R16,Loss,83950,2
64,1886,80402,AAKARSHI KASHYAP,76890,Putri Kusuma WARDANI,5224,PERODUA Malaysia Masters 2025,2025-05-20,R32,Loss,80402,2
65,194,93627,Srikanth KIDAMBI,61628,Toma Junior POPOV,5224,PERODUA Malaysia Masters 2025,2025-05-20,QF,Win,93627,1
66,62,68322,Ayush SHETTY,63122,Brian YANG,5224,PERODUA Malaysia Masters 2025,2025-05-20,R32,Win,68322,1
67,211,92160,Tharun MANNEPALLI,85845,Panitchaphon TEERARATSAKUL,5224,PERODUA Malaysia Masters 2025,2025-05-20,Qual. R16,Loss,92160,2
68,1914,58664,Anmol KHARB,80795,Yi-Ting HUNG,5224,PERODUA Malaysia Masters 2025,2025-05-20,Qual. QF,Loss,58664,2
69,253,91814,S.Sankar Muthusamy SUBRAMANIAN,97345,Xuan Chen ZHU,5224,PERODUA Malaysia Masters 2025,2025-05-20,Qual. R16,Loss,91814,1
70,61,68322,Ayush SHETTY,61628,Toma Junior POPOV,5224,PERODUA Malaysia Masters 2025,2025-05-20,R16,Loss,68322,1
71,198,93627,Srikanth KIDAMBI,59077,Kuan Lin KUO,5224,PERODUA Malaysia Masters 2025,2025-05-20,Qual. R16,Win,93627,1
72,197,93627,Srikanth KIDAMBI,98595,Yu Kai HUANG,5224,PERODUA Malaysia Masters 2025,2025-05-20,Qual. QF,Win,93627,2
73,48,83950,H. S. PRANNOY,85394,Kenta NISHIMOTO,5224,PERODUA Malaysia Masters 2025,2025-05-20,R32,Win,83950,2
74,4698,60980,Rohan KAPOOR,81844,Xin Wa GUO,5224,PERODUA Malaysia Masters 2025,2025-05-20,R32,Loss,60980,1
75,4729,79164,Sathish Kumar KARUNAKARAN,84631,Verrell Yustin MULIA,5224,PERODUA Malaysia Masters 2025,2025-05-20,R32,Loss,79164,1
76,196,93627,Srikanth KIDAMBI,77427,Guang Zu LU,5224,PERODUA Malaysia Masters 2025,2025-05-20,R32,Win,93627,2
77,121,69093,Priyanshu RAJAWAT,82606,Jia Heng Jason TEH,5224,PERODUA Malaysia Masters 2025,2025-05-20,R32,Loss,69093,2
78,192,93627,Srikanth KIDAMBI,95476,Shi Feng LI,5224,PERODUA Malaysia Masters 2025,2025-05-20,Final,Loss,93627,2
79,4667,57372,DHRUV KAPILA,63029,Zhen Bang JIANG,5224,PERODUA Malaysia Masters 2025,2025-05-20,QF,Loss,57372,1
80,4668,57372,DHRUV KAPILA,73323,Julien MAIO,5224,PERODUA Malaysia Masters 2025,2025-05-20,R16,Win,57372,1
81,4669,57372,DHRUV KAPILA,63571,Adnan MAULANA,5224,PERODUA Malaysia Masters 2025,2025-05-20,R32,Win,57372,1
82,193,93627,Srikanth KIDAMBI,86672,Yushi TANAKA,5224,PERODUA Malaysia Masters 2025,2025-05-20,SF,Win,93627,2
83,3433,77156,Pruthvi KRISHNAMURTHY ROY,78409,Wei Chong MAN,5224,PERODUA Malaysia Masters 2025,2025-05-20,R32,Loss,77156,2
84,195,93627,Srikanth KIDAMBI,85095,Nhat NGUYEN,5224,PERODUA Malaysia Masters 2025,2025-05-20,R16,Win,93627,1
85,154,79164,Sathish Kumar KARUNAKARAN,34810,Tien Chen CHOU,5224,PERODUA Malaysia Masters 2025,2025-05-20,R32,Win,79164,2
86,1795,59687,Unnati HOODA,96725,Hsiang Ti LIN,5224,PERODUA Malaysia Masters 2025,2025-05-20,R32,Loss,59687,1
87,1755,73173,V. Sindhu PUSARLA,75678,Thuy Linh NGUYEN,5224,PERODUA Malaysia Masters 2025,2025-05-20,R32,Loss,73173,2
