team_id,main_athlete_name,tournament_id,tournament_name,year,tournament_date,round_name,notable_win,lost_to
1,Satwiksairaj Rankireddy & Chirag Shetty,4767,Syed Modi India International 2024,2024,1 December,R32,,Xu Jun Chen & Ruo Han Guo (89)
1,Satwiksairaj Rankireddy & Chirag Shetty,4766,LI-NING China Masters 2024,2024,24 November,SF,"Kim Astrup & Anders Skaarup Rasmussen (3), Rasmus Kjær & Frederik Søgaard (15)",Yong Jin & Seung Jae Seo (55)
1,Satwiksairaj Rankireddy & Chirag Shetty,4752,Paris 2024 Olympic Games Badminton Competition,2024,5 August,Quarterfinals,,Aaron Chia & Wooi Yik Soh (2)
1,Satwiksairaj Rankireddy & Chirag Shetty,4747,KFF Singapore Badminton Open 2024,2024,2 June,R32,,Daniel Lundgaard & Mads Vestergaard (25)
1,Satwiksairaj Rankireddy & Chirag Shetty,4745,TOYOTA Thailand Open 2024,2024,19 May,SF,Bo Yang Chen & Yi Liu (11),
1,Satwiksairaj RANKIREDDY & Chirag SHETTY,5147,TotalEnergies BWF Thomas & Uber Cup Finals 2024,2024,5 May,QF,,Wei Keng LIANG & Chang WANG (6)
1,Satwiksairaj RANKIREDDY & Chirag SHETTY,4872,BANK OF NINGBO Badminton Asia Championships 2024,2024,14 April,R32,,Jhe-Huei LEE & Po-Hsuan YANG (20)
1,Satwiksairaj Rankireddy & Chirag Shetty,4741,YONEX All England Open Badminton Championships 2024,2024,17 March,R16,,Muhammad Shohibul Fikri & Bagas Maulana
1,Satwiksairaj Rankireddy & Chirag Shetty,4762,YONEX French Open 2024,2024,10 March,SF,Wei Chong Man & Kai Wun Tee (7),
1,Satwiksairaj RANKIREDDY & Chirag SHETTY,4867,SELANGOR Badminton Asia Team Championships 2024 presented by PKNS,2024,18 February,R1,,
1,Satwiksairaj Rankireddy & Chirag Shetty,4736,YONEX SUNRISE India Open 2024,2024,21 January,SF,"Aaron Chia & Wooi Yik Soh (2), Kim Astrup & Anders Skaarup Rasmussen (3)",Min Hyuk Kang & Seung Jae Seo (30)
1,Satwiksairaj Rankireddy & Chirag Shetty,4735,PETRONAS Malaysia Open 2024,2024,14 January,SF,Ji Ting He & Xiang Yu Ren (14),Wei Keng Liang & Chang Wang (6)
2,Hariharan Amsakarunan & Ruban Kumar Rethinasabapathi,4881,YONEX-SUNRISE Odisha Masters 2024,2024,15 December,R32,,Xu Jun Chen & Ruo Han Guo (89)
2,Hariharan Amsakarunan & Ruban Kumar Rethinasabapathi,4880,YONEX-SUNRISE Guwahati Masters 2024,2024,8 December,QF,,He Chen Cui & Jian Qin Peng (50)
2,Hariharan Amsakarunan & Ruban Kumar Rethinasabapathi,4767,Syed Modi India International 2024,2024,1 December,QF,,Wen Jun Sun & Yi Jun Zhu (46)
2,Hariharan AMSAKARUNAN & Ruban Kumar RETHINASABAPATHI,5130,CM TROPHY India International Challenge 2024,2024,17 November,SF,,
2,Hariharan AMSAKARUNAN & Ruban Kumar RETHINASABAPATHI,5129,NMDC - TELANGANA International Challenge 2024,2024,10 November,SF,,Pruthvi KRISHNAMURTHY ROY & Sai PRATHEEK.K (37)
2,Hariharan AMSAKARUNAN & Ruban Kumar RETHINASABAPATHI,5083,MAXX North Harbour International 2024,2024,26 October,SF,,Hiroki MIDORIKAWA & Kyohei YAMASHITA (28)
2,Hariharan AMSAKARUNAN & Ruban Kumar RETHINASABAPATHI,5099,ROKETTO Sydney International 2024,2024,20 October,QF,,Hiroki MIDORIKAWA & Kyohei YAMASHITA (28)
2,Hariharan AMSAKARUNAN & Ruban Kumar RETHINASABAPATHI,5098,YONEX Bendigo International 2024,2024,13 October,SF,,Cheng Kuan CHEN & Li-Wei PO
