athlete_id,main_athlete_name,tournament_id,tournament_name,year,tournament_date,round_name,notable_win,lost_to
58664,Anmol Kharb,4881,YONEX-SUNRISE Odisha Masters 2024,2024,15 December,QF,,Tanvi Sharma (70)
58664,Anmol Kharb,4880,YONEX-SUNRISE Guwahati Masters 2024,2024,8 December,SF,Lalinrat Chaiwan (48),Yan Yan Cai
58664,Anmol Kharb,4767,Syed Modi India International 2024,2024,1 December,R32,,V. Sindhu Pusarla (21)
58664,Anmol KHARB,5130,CM TROPHY India International Challenge 2024,2024,17 November,QF,,Isharani BARUAH (79)
58664,Anmol KHARB,5129,NMDC - TELANGANA International Challenge 2024,2024,10 November,SF,,Rakshitha Sree SANTHOSH RAMRAJ (43)
58664,Anmol KHARB,5157,Polish International 2024 presented by VICTOR,2024,22 September,SF,,
58664,Anmol KHARB,5101,YONEX Belgian International 2024,2024,14 September,Qual. R32,,
58664,Anmol Kharb,4874,WONDR by BNI Indonesia Masters 2024,2024,1 September,Qual. R16,,Kyla Legiana Agatha
58664,Anmol KHARB,5119,WONDR by BNI Indonesia International Challenge 2024,2024,25 August,R32,,Riko GUNJI (31)
58664,Anmol KHARB,5147,TotalEnergies BWF Thomas & Uber Cup Finals 2024,2024,5 May,R3,,Yue HAN (4)
58664,Anmol Kharb,4989,CONDENSATE Kazakhstan International Challenge 2024,2024,6 April,Qual. R16,,
58664,Anmol KHARB,4867,SELANGOR Badminton Asia Team Championships 2024 presented by PKNS,2024,18 February,SF,Natsuki NIDAIRA (17),Saloni Samirbhai MEHTA (80)
59687,Unnati Hooda,4880,YONEX-SUNRISE Guwahati Masters 2024,2024,8 December,R32,,Shriyanshi Valishetty (76)
59687,Unnati Hooda,4767,Syed Modi India International 2024,2024,1 December,SF,Pornpicha Choeikeewong (32),V. Sindhu Pusarla (21)
59687,Unnati Hooda,4761,VICTOR Denmark Open 2024,2024,20 October,R32,,Lauren Lam (40)
59687,Unnati Hooda,4760,CLASH ROYALE Arctic Open 2024 powered by YONEX,2024,13 October,R16,,Michelle Li (18)
59687,Unnati HOODA,5119,WONDR by BNI Indonesia International Challenge 2024,2024,25 August,R16,,Ga Ram KIM
59687,Unnati Hooda,5249,Baoji China Masters 2024,2024,11 August,QF,,Luo Yu Wu (56)
59687,Unnati HOODA,4746,PERODUA Malaysia Masters 2024,2024,26 May,R32,,Fang Jie GAO (14)
59687,Unnati Hooda,4745,TOYOTA Thailand Open 2024,2024,19 May,R32,,Lianne Tan
59687,Unnati Hooda,5041,YONEX Luxembourg Open 2024,2024,5 May,R16,,Tara Shah
59687,Unnati Hooda,4996,LI NING Sri Lanka International Challenge 2024,2024,11 February,R32,,Sadhana Fenelon
68322,Ayush Shetty,4881,YONEX-SUNRISE Odisha Masters 2024,2024,15 December,QF,,Sathish Kumar Karunakaran (48)
68322,UNKNOWN,4881,YONEX-SUNRISE Odisha Masters 2024,2024,15 December,R64,,
68322,Ayush Shetty,4880,YONEX-SUNRISE Guwahati Masters 2024,2024,8 December,QF,,June Wei Cheam (58)
68322,UNKNOWN,4880,YONEX-SUNRISE Guwahati Masters 2024,2024,8 December,R64,,
68322,Ayush Shetty,4767,Syed Modi India International 2024,2024,1 December,QF,,Shogo Ogawa (60)
68322,Ayush Shetty,4763,Hylo Open 2024,2024,3 November,SF,,Christo Popov (20)
68322,Ayush SHETTY,5111,YONEX Dutch Open 2024,2024,27 October,SF,,Mads CHRISTOPHERSEN (69)
68322,Ayush Shetty,5139,Sands China Ltd. Macau Open Badminton 2024,2024,29 September,R16,,Srikanth Kidambi (50)
68322,Ayush Shetty,5249,Baoji China Masters 2024,2024,11 August,SF,,Zhe An Hu (86)
68322,UNKNOWN,5249,Baoji China Masters 2024,2024,11 August,R64,,
68322,Ayush Shetty,4751,YONEX Canada Open 2024,2024,7 July,R32,,Koki Watanabe (16)
68322,Ayush Shetty,4873,YONEX US Open 2024,2024,30 June,R32,,Jia Heng Jason Teh (24)
68322,Ayush SHETTY,4746,PERODUA Malaysia Masters 2024,2024,26 May,Qual. R16,,Panitchaphon TEERARATSAKUL (56)
68322,Ayush Shetty,4745,TOYOTA Thailand Open 2024,2024,19 May,Qual. QF,,Jason Gunawan (42)
68322,Ayush Shetty,4871,TOYOTA International Challenge 2024,2024,31 March,SF,,Ikhsan Leonardo Imanuel Rumbay
68322,Ayush Shetty,4870,Ruichang China Masters 2024,2024,24 March,QF,,Tian Yao Dong
68322,UNKNOWN,4870,Ruichang China Masters 2024,2024,24 March,R64,,
68322,Ayush Shetty,4992,CIPUTRA HANOI - YONEX SUNRISE Vietnam International Challenge 2024,2024,17 March,R32,,Panitchaphon Teeraratsakul (56)
68322,Ayush SHETTY,4998,Azerbaijan International 2024,2024,11 February,SF,,Hyeok Jin JEON (40)
68322,Ayush Shetty,4866,32nd Iran Fajr International Challenge 2024,2024,4 February,SF,,Sathish Kumar Karunakaran (48)
68870,Lakshya Sen,4767,Syed Modi India International 2024,2024,1 December,SF,,
68870,Lakshya Sen,4766,LI-NING China Masters 2024,2024,24 November,QF,Zii Jia Lee (15),Anders Antonsen (3)
68870,Lakshya SEN,4765,Kumamoto Masters Japan 2024,2024,17 November,R32,,Jun Hao LEONG (25)
68870,Lakshya Sen,4761,VICTOR Denmark Open 2024,2024,20 October,R32,,Guang Zu Lu (11)
68870,Lakshya Sen,4760,CLASH ROYALE Arctic Open 2024 powered by YONEX,2024,13 October,R16,,Tien Chen Chou (7)
68870,Lakshya Sen,4752,Paris 2024 Olympic Games Badminton Competition,2024,5 August,3/4,Tien Chen Chou (7),"Viktor Axelsen (9), Zii Jia Lee (15)"
68870,Lakshya Sen,4748,KAPAL API Indonesia Open 2024,2024,9 June,QF,Kenta Nishimoto (13),Anders Antonsen (3)
68870,Lakshya Sen,4747,KFF Singapore Badminton Open 2024,2024,2 June,R32,,Viktor Axelsen (9)
68870,Lakshya SEN,5147,TotalEnergies BWF Thomas & Uber Cup Finals 2024,2024,5 May,QF,Shi Feng LI (4),
68870,Lakshya SEN,4872,BANK OF NINGBO Badminton Asia Championships 2024,2024,14 April,R32,,Yu Qi SHI (2)
68870,Lakshya Sen,4742,YONEX Swiss Open 2024,2024,24 March,R16,,Chia Hao Lee (19)
68870,Lakshya Sen,4741,YONEX All England Open Badminton Championships 2024,2024,17 March,SF,"Anders Antonsen (3), Zii Jia Lee (15)",Jonatan Christie (5)
68870,Lakshya Sen,4762,YONEX French Open 2024,2024,10 March,SF,"Kean Yew Loh (10), Shi Feng Li (4)",Kunlavut Vitidsarn (1)
68870,Lakshya SEN,4867,SELANGOR Badminton Asia Team Championships 2024 presented by PKNS,2024,18 February,R2,,
68870,Lakshya Sen,4737,DAIHATSU Indonesia Masters 2024,2024,28 January,R16,Hong Yang Weng (12),Anders Antonsen (3)
68870,Lakshya Sen,4736,YONEX SUNRISE India Open 2024,2024,21 January,R32,,Priyanshu Rajawat (35)
68870,Lakshya Sen,4735,PETRONAS Malaysia Open 2024,2024,14 January,R32,,Hong Yang Weng (12)
69093,Priyanshu Rajawat,4880,YONEX-SUNRISE Guwahati Masters 2024,2024,8 December,R16,,Tharun Mannepalli (54)
69093,Priyanshu Rajawat,4767,Syed Modi India International 2024,2024,1 December,SF,,Jia Heng Jason Teh (24)
69093,Priyanshu Rajawat,4766,LI-NING China Masters 2024,2024,24 November,R32,,Chico  Aura Dwi Wardoyo (44)
69093,Priyanshu RAJAWAT,4757,VICTOR China Open 2024,2024,22 September,R32,,Brian YANG (34)
69093,Priyanshu Rajawat,4756,LI-NING Hong Kong Open 2024,2024,15 September,R32,,Takuma Obayashi (41)
69093,Priyanshu Rajawat,4751,YONEX Canada Open 2024,2024,7 July,SF,"Anders Antonsen (3), Rasmus Gemke (28)",Alex Lanier (8)
69093,Priyanshu Rajawat,4873,YONEX US Open 2024,2024,30 June,QF,,Lan Xi Lei (27)
69093,Priyanshu Rajawat,4748,KAPAL API Indonesia Open 2024,2024,9 June,R16,H. S. Prannoy (33),Kunlavut Vitidsarn (1)
69093,Priyanshu Rajawat,4747,KFF Singapore Badminton Open 2024,2024,2 June,R32,,Cheuk Yiu Lee (21)
69093,Priyanshu RAJAWAT,4872,BANK OF NINGBO Badminton Asia Championships 2024,2024,14 April,R32,,Zii Jia LEE (15)
69093,Priyanshu Rajawat,4742,YONEX Swiss Open 2024,2024,24 March,QF,"Cheuk Yiu Lee (21), Lan Xi Lei (27)",Tien Chen Chou (7)
69093,Priyanshu Rajawat,4741,YONEX All England Open Badminton Championships 2024,2024,17 March,R32,,Chico  Aura Dwi Wardoyo (44)
69093,Priyanshu Rajawat,4762,YONEX French Open 2024,2024,10 March,R32,,Viktor Axelsen (9)
69093,Priyanshu Rajawat,4737,DAIHATSU Indonesia Masters 2024,2024,28 January,R16,Rasmus Gemke (28),Brian Yang (34)
69093,Priyanshu Rajawat,4736,YONEX SUNRISE India Open 2024,2024,21 January,R16,Lakshya Sen (18),H. S. Prannoy (33)
70595,Shriyanshi Valishetty,4881,YONEX-SUNRISE Odisha Masters 2024,2024,15 December,SF,"Sin Yan Happy Lo (54), Wang Dai (64)",Tanvi Sharma (70)
70595,Shriyanshi Valishetty,4880,YONEX-SUNRISE Guwahati Masters 2024,2024,8 December,R16,Unnati Hooda (38),Luo Yu Wu (56)
70595,Shriyanshi Valishetty,4767,Syed Modi India International 2024,2024,1 December,QF,Malvika Bansod (23),Luo Yu Wu (56)
70595,Shriyanshi VALISHETTY,5130,CM TROPHY India International Challenge 2024,2024,17 November,SF,Tanvi SHARMA (70),Rakshitha Sree SANTHOSH RAMRAJ (43)
70595,Shriyanshi VALISHETTY,5129,NMDC - TELANGANA International Challenge 2024,2024,10 November,R16,,Shreya LELE (88)
70595,Shriyanshi Valishetty,5128,VICTOR Türkiye International Challenge 2024,2024,13 October,R16,,Anna Tatranova (90)
70595,Shriyanshi Valishetty,4875,YONEX-SUNRISE Vietnam Open 2024,2024,15 September,R32,,Ciou-Tong Tung (53)
70595,Shriyanshi VALISHETTY,5119,WONDR by BNI Indonesia International Challenge 2024,2024,25 August,R32,,Saranporn SOMBUTWATTHANANUKOOL
70595,Shriyanshi VALISHETTY,5052,I FEEL SLOVENIA LI-NING Open 2024,2024,19 May,SF,Amalie SCHULZ (67),Rakshitha Sree SANTHOSH RAMRAJ (43)
70595,Shriyanshi Valishetty,5051,STATE Denmark Challenge 2024 presented by RSL,2024,11 May,R16,,Anupama Upadhyaya (42)
70595,Shriyanshi Valishetty,4871,TOYOTA International Challenge 2024,2024,31 March,R32,,Karupathevan Letshanaa (51)
70595,Shriyanshi Valishetty,4992,CIPUTRA HANOI - YONEX SUNRISE Vietnam International Challenge 2024,2024,17 March,Qual. R16,,Mutiara Ayu Puspitasari (73)
70595,Shriyanshi VALISHETTY,4997,LI NING Sri Lanka International Series 2024,2024,18 February,R16,,Navya KANDERI
70595,Shriyanshi Valishetty,4996,LI NING Sri Lanka International Challenge 2024,2024,11 February,R32,,Siti Zulaikha
73173,V. Sindhu Pusarla,4767,Syed Modi India International 2024,2024,1 December,SF,,
73173,V. Sindhu Pusarla,4766,LI-NING China Masters 2024,2024,24 November,R16,Busanan Ongbamrungphan (13),Jia Min Yeo (11)
73173,V. Sindhu PUSARLA,4765,Kumamoto Masters Japan 2024,2024,17 November,R16,Busanan ONGBAMRUNGPHAN (13),Michelle LI (18)
73173,V. Sindhu Pusarla,4761,VICTOR Denmark Open 2024,2024,20 October,QF,Yue Han (4),Gregoria Mariska Tunjung (6)
73173,V. Sindhu Pusarla,4760,CLASH ROYALE Arctic Open 2024 powered by YONEX,2024,13 October,R32,,Michelle Li (18)
73173,V. Sindhu Pusarla,4752,Paris 2024 Olympic Games Badminton Competition,2024,5 August,Round of 16,,Bing Jiao He
73173,V. Sindhu Pusarla,4748,KAPAL API Indonesia Open 2024,2024,9 June,R32,,Wen Chi Hsu (25)
73173,V. Sindhu Pusarla,4747,KFF Singapore Badminton Open 2024,2024,2 June,R16,Line Højmark Kjaersfeldt (16),Carolina Marin
73173,V. Sindhu PUSARLA,4746,PERODUA Malaysia Masters 2024,2024,26 May,SF,"Busanan ONGBAMRUNGPHAN (13), Yu Jin SIM (15), Yue HAN (4)",Zhi Yi WANG (2)
73173,V. Sindhu PUSARLA,4872,BANK OF NINGBO Badminton Asia Championships 2024,2024,14 April,R16,,Yue HAN (4)
73173,V. Sindhu Pusarla,4743,Madrid Spain Masters 2024 by IBERDROLA,2024,31 March,QF,,Supanida Katethong (9)
73173,V. Sindhu Pusarla,4742,YONEX Swiss Open 2024,2024,24 March,R16,,Tomoka Miyazaki (7)
73173,V. Sindhu Pusarla,4741,YONEX All England Open Badminton Championships 2024,2024,17 March,R16,,Se Young An (1)
73173,V. Sindhu Pusarla,4762,YONEX French Open 2024,2024,10 March,QF,"Beiwen Zhang (19), Michelle Li (18)",Yu Fei Chen (5)
73173,V. Sindhu PUSARLA,4867,SELANGOR Badminton Asia Team Championships 2024 presented by PKNS,2024,18 February,SF,Supanida KATETHONG (9),Aya OHORI
74481,Anupama Upadhyaya,4881,YONEX-SUNRISE Odisha Masters 2024,2024,15 December,R32,,Tanvi Sharma (70)
74481,Anupama Upadhyaya,4767,Syed Modi India International 2024,2024,1 December,R16,,Tasnim Mir (66)
74481,Anupama Upadhyaya,4766,LI-NING China Masters 2024,2024,24 November,R16,Beiwen Zhang (19),Natsuki Nidaira (17)
74481,Anupama UPADHYAYA,5130,CM TROPHY India International Challenge 2024,2024,17 November,R16,,Tanvi SHARMA (70)
74481,Anupama UPADHYAYA,5129,NMDC - TELANGANA International Challenge 2024,2024,10 November,SF,,Isharani BARUAH (79)
74481,Anupama UPADHYAYA,5083,MAXX North Harbour International 2024,2024,26 October,R32,,Su Yu CHEN (93)
74481,Anupama UPADHYAYA,5099,ROKETTO Sydney International 2024,2024,20 October,QF,,Ching Ping HUANG (71)
74481,Anupama Upadhyaya,5139,Sands China Ltd. Macau Open Badminton 2024,2024,29 September,R32,,Riko Gunji (31)
74481,Anupama Upadhyaya,4875,YONEX-SUNRISE Vietnam Open 2024,2024,15 September,R32,,Isharani Baruah (79)
74481,Anupama Upadhyaya,4755,YONEX Taipei Open 2024,2024,8 September,R32,,Lauren Lam (40)
74481,Anupama Upadhyaya,4751,YONEX Canada Open 2024,2024,7 July,R16,,Michelle Li (18)
74481,Anupama Upadhyaya,4879,VICTOR Kaohsiung Masters 2024,2024,23 June,R32,,Yu-Hsuan Lee (100)
74481,Anupama Upadhyaya,4749,SATHIO GROUP Australian Open 2024,2024,16 June,R16,,Putri Kusuma Wardani (12)
74481,Anupama Upadhyaya,5051,STATE Denmark Challenge 2024 presented by RSL,2024,11 May,SF,,Hina Akechi (55)
74481,Anupama Upadhyaya,5041,YONEX Luxembourg Open 2024,2024,5 May,R16,,Devika Sihag
74481,Anupama Upadhyaya,4989,CONDENSATE Kazakhstan International Challenge 2024,2024,6 April,SF,,
74481,Anupama Upadhyaya,5002,ORLEN Polish Open 2024,2024,24 March,SF,,
74481,Anupama Upadhyaya,4740,Orleans Masters Badminton presented by VICTOR 2024,2024,17 March,Qual. QF,,
74481,Anupama UPADHYAYA,4998,Azerbaijan International 2024,2024,11 February,SF,,Malvika BANSOD (23)
82572,Pranay Shettigar,4881,YONEX-SUNRISE Odisha Masters 2024,2024,15 December,R16,,Rithvik Sanjeevi Satish Kumar (64)
82572,Pranay Shettigar,4880,YONEX-SUNRISE Guwahati Masters 2024,2024,8 December,R64,,Saran Jamsri
82572,Pranay Shettigar,5175,FZ FORZA Norwegian International 2024,2024,10 November,Qual. R16,,
82572,UNKNOWN,5175,FZ FORZA Norwegian International 2024,2024,10 November,Qual. R64,,
82572,Pranay SHETTIGAR,5158,49th VICTOR FZ FORZA Hungarian International Championships 2024,2024,2 November,Qual. R64,,Mikkel LANGEMARK
82572,Pranay SHETTIGAR,4759,YONEX BWF World Junior Championships 2024,2024,13 October,QF,,Zi Jun WANG
82572,Pranay SHETTIGAR,4758,BWF World Junior Mixed Team Championships 2024,2024,5 October,R3,,
82572,Pranay SHETTIGAR,5119,WONDR by BNI Indonesia International Challenge 2024,2024,25 August,R64,,Kavin Thangam KAVIN
82572,Pranay Shettigar,5113,BNI Badminton Asia Junior Championships 2024 (Individual),2024,7 July,R16,,Ho Seong Yoon
82572,UNKNOWN,5113,BNI Badminton Asia Junior Championships 2024 (Individual),2024,7 July,R128,,
82572,Pranay SHETTIGAR,5106,BNI Badminton Asia Junior Championships 2024 (Team),2024,2 July,QF,,Muhammad FAIQ
82572,Pranay SHETTIGAR,4997,LI NING Sri Lanka International Series 2024,2024,18 February,R64,,Xiaodong SHENG (80)
83950,H. S. Prannoy,4752,Paris 2024 Olympic Games Badminton Competition,2024,5 August,Round of 16,,Lakshya Sen (18)
83950,H. S. Prannoy,4749,SATHIO GROUP Australian Open 2024,2024,16 June,QF,,Kodai Naraoka (6)
83950,H. S. Prannoy,4748,KAPAL API Indonesia Open 2024,2024,9 June,R32,,Priyanshu Rajawat (35)
83950,H. S. Prannoy,4747,KFF Singapore Badminton Open 2024,2024,2 June,R16,,Kenta Nishimoto (13)
83950,H. S. Prannoy,4745,TOYOTA Thailand Open 2024,2024,19 May,R32,,Meiraba Luwang Maisnam (70)
83950,H. S. PRANNOY,5147,TotalEnergies BWF Thomas & Uber Cup Finals 2024,2024,5 May,QF,,Yu Qi SHI (2)
83950,H. S. PRANNOY,4872,BANK OF NINGBO Badminton Asia Championships 2024,2024,14 April,R16,Guang Zu LU (11),Chun-Yi LIN (14)
83950,H. S. Prannoy,4741,YONEX All England Open Badminton Championships 2024,2024,17 March,R32,,Li  Yang Su (38)
83950,H. S. Prannoy,4762,YONEX French Open 2024,2024,10 March,R32,,Guang Zu Lu (11)
83950,H. S. PRANNOY,4867,SELANGOR Badminton Asia Team Championships 2024 presented by PKNS,2024,18 February,R1,Hong Yang WENG (12),Ka Long Angus NG (23)
83950,H. S. Prannoy,4737,DAIHATSU Indonesia Masters 2024,2024,28 January,R32,,Kean Yew Loh (10)
83950,H. S. Prannoy,4736,YONEX SUNRISE India Open 2024,2024,21 January,SF,"Tien Chen Chou (7), Tzu Wei Wang (26)",Yu Qi Shi (2)
83950,H. S. Prannoy,4735,PETRONAS Malaysia Open 2024,2024,14 January,R32,,Anders Antonsen (3)
91807,Rakshitha Sree Santhosh Ramraj,4881,YONEX-SUNRISE Odisha Masters 2024,2024,15 December,QF,,Sorano Yoshikawa
91807,Rakshitha Sree Santhosh Ramraj,4767,Syed Modi India International 2024,2024,1 December,R16,,Luo Yu Wu (56)
91807,Rakshitha Sree SANTHOSH RAMRAJ,5130,CM TROPHY India International Challenge 2024,2024,17 November,SF,,
91807,Rakshitha Sree SANTHOSH RAMRAJ,5129,NMDC - TELANGANA International Challenge 2024,2024,10 November,SF,,Isharani BARUAH (79)
91807,Rakshitha Sree Santhosh Ramraj,4763,Hylo Open 2024,2024,3 November,QF,Kirsty Gilmour (28),Julie Dawall Jakobsen (30)
91807,Rakshitha Sree Santhosh Ramraj,4875,YONEX-SUNRISE Vietnam Open 2024,2024,15 September,R16,,Wang Dai (64)
91807,Rakshitha Sree Santhosh Ramraj,4755,YONEX Taipei Open 2024,2024,8 September,R32,,Asuka Takahashi (59)
91807,Rakshitha Sree Santhosh Ramraj,4874,WONDR by BNI Indonesia Masters 2024,2024,1 September,QF,,Hina Akechi (55)
91807,Rakshitha Sree SANTHOSH RAMRAJ,5090,ST DENIS Reunion Open 2024,2024,7 July,SF,,Tasnim MIR (66)
91807,Rakshitha Sree Santhosh Ramraj,4879,VICTOR Kaohsiung Masters 2024,2024,23 June,R16,,Pin-Chian Chiu (27)
91807,Rakshitha Sree SANTHOSH RAMRAJ,5052,I FEEL SLOVENIA LI-NING Open 2024,2024,19 May,SF,,
