athlete_id,tournament_date,world_ranking,world_tour_ranking,olympic_rank
72435,2016-03-31,684,,
72435,2016-04-07,417,,
72435,2016-04-14,419,,
72435,2016-04-21,421,,
72435,2016-04-28,416,,
72435,2016-05-05,422,,
72435,2016-05-12,422,,
72435,2016-05-19,420,,
72435,2016-05-26,303,,
72435,2016-06-02,298,,
72435,2016-06-09,239,,
72435,2016-06-16,238,,
72435,2016-06-23,162,,
72435,2016-06-30,162,,
72435,2016-07-08,163,,
72435,2016-07-14,165,,
72435,2016-07-21,164,,
72435,2016-07-28,163,,
72435,2016-08-04,162,,
72435,2016-08-11,162,,
72435,2016-08-18,162,,
72435,2016-08-25,161,,
72435,2016-09-01,159,,
72435,2016-09-08,160,,
72435,2016-09-15,154,,
72435,2016-09-22,153,,
72435,2016-09-29,159,,
72435,2016-10-06,159,,
72435,2016-10-13,158,,
72435,2016-10-20,159,,
72435,2016-10-27,159,,
72435,2016-11-03,167,,
72435,2016-11-10,168,,
72435,2016-11-17,167,,
72435,2016-11-24,166,,
72435,2016-12-01,120,,
72435,2016-12-08,93,,
72435,2016-12-15,69,,
72435,2016-12-22,68,,
72435,2016-12-29,68,,
72435,2017-01-05,68,,
72435,2017-01-12,68,,
72435,2017-01-19,69,,
72435,2017-01-26,66,,
72435,2017-02-02,57,,
72435,2017-02-10,57,,
72435,2017-02-16,59,,
72435,2017-02-23,56,,
72435,2017-03-02,58,,
72435,2017-03-09,56,,
72435,2017-03-16,57,,
72435,2017-03-23,59,,
72435,2017-03-30,51,,
72435,2017-04-06,45,,
72435,2017-04-13,42,,
72435,2017-04-20,44,,
72435,2017-04-27,45,,
72435,2017-05-04,46,,
72435,2017-05-11,45,,
72435,2017-05-18,45,,
72435,2017-05-25,42,,
72435,2017-06-01,42,,
72435,2017-06-08,42,,
72435,2017-06-15,40,,
72435,2017-06-22,41,,
72435,2017-06-29,36,,
72435,2017-07-06,35,,
72435,2017-07-13,35,,
72435,2017-07-20,35,,
72435,2017-07-27,37,,
72435,2017-08-03,37,,
72435,2017-08-10,38,,
72435,2017-08-17,38,,
72435,2017-08-24,38,,
72435,2017-08-30,38,,
72435,2017-09-07,38,,
72435,2017-09-14,39,,
72435,2017-09-21,32,,
72435,2017-09-28,32,,
72435,2017-10-05,32,,
72435,2017-10-12,32,,
72435,2017-10-19,32,,
72435,2017-10-26,32,,
72435,2017-11-02,28,,
72435,2017-11-09,27,,
72435,2017-11-16,28,,
72435,2017-11-23,27,,
72435,2017-11-30,27,,
72435,2017-12-07,30,,
72435,2017-12-14,31,,
72435,2017-12-21,31,,
72435,2017-12-28,31,,
72435,2018-01-04,31,,
72435,2018-01-11,31,,
72435,2018-01-18,32,,
72435,2018-01-25,32,,
72435,2018-02-02,27,16,
72435,2018-02-08,25,13,
72435,2018-02-15,25,13,
72435,2018-02-22,25,13,
72435,2018-03-01,25,15,
72435,2018-03-08,25,15,
72435,2018-03-15,21,18,
72435,2018-03-22,20,14,
72435,2018-03-29,21,14,
72435,2018-04-05,21,15,
72435,2018-04-12,21,15,
72435,2018-04-19,18,15,
72435,2018-04-26,18,15,
72435,2018-05-03,18,15,
72435,2018-05-10,18,17,
72435,2018-05-17,18,18,
72435,2018-05-24,18,18,
72435,2018-05-31,18,18,
72435,2018-06-07,18,18,
72435,2018-06-14,18,18,
72435,2018-06-21,18,20,
72435,2018-06-28,19,26,
72435,2018-07-05,21,27,
72435,2018-07-12,21,26,
72435,2018-07-19,22,24,
72435,2018-07-26,25,20,
72435,2018-08-02,25,20,
72435,2018-08-09,23,20,
72435,2018-08-16,22,21,
72435,2018-08-23,22,21,
72435,2018-08-30,22,21,
72435,2018-09-06,21,21,
72435,2018-09-13,18,15,
72435,2018-09-20,20,16,
72435,2018-09-27,22,17,
72435,2018-10-04,23,17,
72435,2018-10-11,24,17,
72435,2018-10-18,24,18,
72435,2018-10-25,25,20,
72435,2018-11-01,21,16,
72435,2018-11-08,23,18,
72435,2018-11-15,19,14,
72435,2018-11-22,19,15,
72435,2018-11-29,18,13,
72435,2018-12-06,18,13,
72435,2018-12-13,18,13,
72435,2018-12-20,16,13,
72435,2018-12-27,16,13,
72435,2019-01-02,16,13,
72435,2019-01-08,16,13,
72435,2019-01-15,16,13,
72435,2019-01-22,16,13,
72435,2019-01-29,21,13,
72435,2019-02-05,21,13,
72435,2019-02-12,21,13,
72435,2019-02-19,21,13,
72435,2019-02-26,20,13,
72435,2019-03-05,20,13,
72435,2019-03-12,24,13,
72435,2019-03-19,24,13,
72435,2019-03-26,23,13,
72435,2019-04-02,24,13,
72435,2019-04-09,25,13,
72435,2019-04-16,26,13,
72435,2019-04-23,26,13,
