athlete_id,R32_Super_100,R32_Super_300,R32_Super_500,R32_Super_750,R32_Super_1000,R32_Super_G1_CC,R16_Super_100,R16_Super_300,R16_Super_500,R16_Super_750,R16_Super_1000,R16_Super_G1_CC,QF_Super_100,QF_Super_300,QF_Super_500,QF_Super_750,QF_Super_1000,QF_Super_G1_CC,SF_Super_100,SF_Super_300,SF_Super_500,SF_Super_750,SF_Super_1000,SF_Super_G1_CC,F_Super_100,F_Super_300,F_Super_500,F_Super_750,F_Super_1000,F_Super_G1_CC
68870,,,1,3,1,1,,1,2,,,,,,,1,1,,,,,,,,,,,,,
83950,,,2,1,3,,,,,1,,1,,,1,,,,,,,,,,,,,,,
68322,,1,1,,,1,,1,,,,,3,1,,,,,,,,,,,,,,,,
69093,,,1,3,2,1,1,,1,1,1,,,2,,,,,,,,,,,,,,,,
82572,,,,,,,1,,,,,1,,,,,,1,,,,,,,,,,,,
73173,,,1,,1,,,1,1,2,1,1,,1,,2,,,,,,,,,,,,,,
59687,1,,2,1,,1,,,1,,,2,1,,,,,,,,,,,,,,,,,
74481,3,2,,,,1,,2,2,1,,2,,,,,,1,,,,,,,,,,,,
91807,,1,,,,1,2,1,,,,2,2,1,,,,,,,,,,,,,,,,
58664,,1,,,,1,,,,,,,1,,,,,2,,,,,,,,,,,,
99042,,1,,,,1,1,,,,,2,1,,,,,2,,,,,,,,,,,,
70595,1,,,,,3,1,,,,,4,,1,,,,,,,,,,,,,,,,
97168,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
