tournament_name,grade
Olympic Games,Grade 1
BWF World Championships ,Grade 1
BWF Sudirman Cup Finals ,Grade 1
BWF Thomas & Uber Cup,Grade 1
Badminton Asia Championships ,1000
Badminton Asia Mixed Team Championship ,1000
Badminton Asia Team Championships,1000
ASIAN Games,1000
Commonwealth Games,Grade 1
BWF World Tour Finals ,Grade 2: Level 1
3 Borders,Junior
Junior,Junior
Torneo Internacional de Badminton Giraldilla,G3
Portuguese International Championships,G3
Internacional Mexicano,G3
Iran Fajr International Challenge,G3
Singapore International Challenge,G3
Uganda  International Challenge,G3
 Sri Lanka International Challenge,G3
Poland  Open,G3
Vietnam  International Challenge,G3
Mexican International Challenge,G3
 Denmark  Challenge,G3
Réunion Open,G3
Northern Marianas Open,G3
Saipan International Challenge,G3
Malaysia International Challenge,G3
Thailand International Challenge,G3
Cameroon  International Challenge,G3
Lagos International Challenge,G3
Belgian International Challenge,G3
Guatemala International Challenge,G3
Dutch Open,G3
 North Harbour International Challenge,G3
Sydney International Challenge,G3
Türkiye International Challenge,G3
Bendigo International Challenge,G3
 Czech Open,G3
China International Challenge,G3
INFOSYS FOUNDATION India International Challenge ,G3
CM Trophy India International Challenge 2025,G3
 Irish Open,G3
Indonesia International Challenge II,G3
Indonesia  International Challenge I,G3
Scottish Open Challenge,G3
Canadian International Challenge,G3
Bangladesh International Challenge,G3
Astana International Challenge,G3
Mongolia International Challenge,G3
 Estonian International,G3
Swedish Open,G3
 Sri Lanka International,G3
Portugal International,G3
Dutch International,G3
Phuket International,G3
Luxembourg Open,G3
Slovenia Open,G3
Mauritius International,G3
Austrian Open,G3
 Northern Marianas International,G3
Italian Open,G3
Thailand International,G3
Ghana International,G3
Malaysia International,G3
Peru Perú International,G3
Polish International,G3
Uganda International,G3
Algeria International,G3
Egypt International,G3
Santo Domingo Open,G3
Venezuela International,G3
Vietnam International (Ninh Bình),G3
Vietnam International (Bắc Giang),G3
Hungarian International,G3
Mexican International,G3
Norwegian International,G3
Suriname International,G3
Zambia International,G3
Guatemala International,G3
El Salvador International,G3
Welsh International,G3
Bangladesh International,G3
 Iceland International,G3
Giraldilla International,G3
Malta International,G3
Slovak Open,G3
Bonn International,G3
Guaraní Open,G3
Venezuela Future Series,G3
Latvia International,G3
 Czech International,G3
Future Series Nouvelle-Aquitaine,G3
Internacional de Badminton Bicentenario-Sucre Bolivia,G3
Mexico Future Series,G3
Guatemala Future Series,G3
Slovenia Future Series,G3
Iran International Khazar Cup,G3
 Costa Rica Future Series,G3
Lithuanian International,G3
La Perla Del Otún,G3
Kampala International,G3
Cratia Croatian International,G3
Bulgarian International,G3
Israel Open,G3
Trinidad and Tobago International,G3
