,event_name,y_min,y_max
0,10m Air Pistol Men,565,595
1,10m Air Pistol Men Junior,565,595
2,10m Air Pistol Women,565,595
3,10m Air Pistol Women Junior,565,595
4,10m Air Rifle Men,620,636
5,10m Air Rifle Men Junior,620,636
6,10m Air Rifle Women,620,636
7,10m Air Rifle Women Junior,620,636
8,10m Moving Target Men,,
9,10m Moving Target Men Junior,,
10,10m Moving Target Women,,
11,10m Moving Target Women Junior,,
12,25m Pistol Women,565,595
13,25m Pistol Women Junior,565,595
14,25m Rapid Fire Pistol Men,565,595
15,25m Rapid Fire Pistol Men Junior,565,595
16,50m Rifle 3 Positions Men,575,600
17,50m Rifle 3 Positions Men Junior,575,600
18,50m Rifle 3 Positions Women,575,600
19,50m Rifle 3 Positions Women Junior,575,600
20,Skeet Men,110,125
21,Skeet Men Junior,110,125
22,Skeet Women,110,125
23,Skeet Women Junior,110,125
24,Trap Men,110,125
25,Trap Men Junior,110,125
26,Trap Women,110,125
27,Trap Women Junior,110,125
