,athlete_id,athlete_name,competition_id,comp_name,comp_date,comp_year,type_arrow_avg,arrow_average
0,27738,Prathamesh Samadhan Jawkar,28887,Kamnik 2025 Veronica’s Cup,2025-05-22,2025,qualification,9.86
1,22125,Dhiraj Bommadevara,26294,Shanghai 2025,2025-05-06,2025,qualification,9.4
2,31020,Parth Sushant Salunkhe,26294,Shanghai 2025,2025-05-06,2025,qualification,9.04
3,8734,Deepika Kumari,26294,Shanghai 2025,2025-05-06,2025,qualification,9.1
4,17262,Ankita Bhakat,26294,Shanghai 2025,2025-05-06,2025,qualification,9.06
5,17287,Simranjeet Kaur,26294,Shanghai 2025,2025-05-06,2025,qualification,8.85
6,5354,Abhishek Verma,26294,Shanghai 2025,2025-05-06,2025,qualification,9.92
7,39157,Ojas Pravin Deotale,26294,Shanghai 2025,2025-05-06,2025,qualification,9.82
8,43889,Aditi Gopichand Swami,26294,Shanghai 2025,2025-05-06,2025,qualification,9.71
9,22125,Dhiraj Bommadevara,26293,Central Florida 2025,2025-04-08,2025,qualification,9.25
10,31020,Parth Sushant Salunkhe,26293,Central Florida 2025,2025-04-08,2025,qualification,8.89
11,17262,Ankita Bhakat,26293,Central Florida 2025,2025-04-08,2025,qualification,8.88
12,8734,Deepika Kumari,26293,Central Florida 2025,2025-04-08,2025,qualification,8.86
13,17287,Simranjeet Kaur,26293,Central Florida 2025,2025-04-08,2025,qualification,8.47
14,5354,Abhishek Verma,26293,Central Florida 2025,2025-04-08,2025,qualification,9.68
15,39157,Ojas Pravin Deotale,26293,Central Florida 2025,2025-04-08,2025,qualification,9.65
16,43889,Aditi Gopichand Swami,28444,2024 Asian Youth - Taipei 2024,2024-09-27,2024,qualification,9.49
17,5354,Abhishek Verma,26030,Lac La Biche 2024,2024-09-16,2024,qualification,11.39
18,22125,Dhiraj Bommadevara,23176,Paris 2024 Olympics,2024-07-25,2024,qualification,9.46
19,17262,Ankita Bhakat,23176,Paris 2024 Olympics,2024-07-25,2024,qualification,9.25
20,45025,Bhajan Kaur,23176,Paris 2024 Olympics,2024-07-25,2024,qualification,9.15
21,8734,Deepika Kumari,23176,Paris 2024 Olympics,2024-07-25,2024,qualification,9.14
22,22125,Dhiraj Bommadevara,26292,Antalya 2024,2024-06-18,2024,qualification,9.57
23,45025,Bhajan Kaur,26292,Antalya 2024,2024-06-18,2024,qualification,9.15
24,8734,Deepika Kumari,26292,Antalya 2024,2024-06-18,2024,qualification,9.1
25,17262,Ankita Bhakat,26292,Antalya 2024,2024-06-18,2024,qualification,8.9
26,42056,Priyansh ,26292,Antalya 2024,2024-06-18,2024,qualification,9.86
27,5354,Abhishek Verma,26292,Antalya 2024,2024-06-18,2024,qualification,9.86
28,43889,Aditi Gopichand Swami,26292,Antalya 2024,2024-06-18,2024,qualification,9.71
29,39665,Parneet Kaur,26292,Antalya 2024,2024-06-18,2024,qualification,9.67
30,8734,Deepika Kumari,27538,Final qualifier | #ArcheryinParis,2024-06-14,2024,qualification,9.21
31,45025,Bhajan Kaur,27538,Final qualifier | #ArcheryinParis,2024-06-14,2024,qualification,9.19
32,17262,Ankita Bhakat,27538,Final qualifier | #ArcheryinParis,2024-06-14,2024,qualification,9.07
33,22125,Dhiraj Bommadevara,26291,Yecheon 2024,2024-05-21,2024,qualification,9.42
34,45024,Mrinal Chauhan,26291,Yecheon 2024,2024-05-21,2024,qualification,9.35
35,8734,Deepika Kumari,26291,Yecheon 2024,2024-05-21,2024,qualification,9.4
36,45025,Bhajan Kaur,26291,Yecheon 2024,2024-05-21,2024,qualification,9.07
37,17262,Ankita Bhakat,26291,Yecheon 2024,2024-05-21,2024,qualification,8.97
38,27737,Komalika Bari,26291,Yecheon 2024,2024-05-21,2024,qualification,8.68
39,42056,Priyansh ,26291,Yecheon 2024,2024-05-21,2024,qualification,9.85
40,5354,Abhishek Verma,26291,Yecheon 2024,2024-05-21,2024,qualification,9.81
41,39665,Parneet Kaur,26291,Yecheon 2024,2024-05-21,2024,qualification,9.78
42,43889,Aditi Gopichand Swami,26291,Yecheon 2024,2024-05-21,2024,qualification,9.75
43,22125,Dhiraj Bommadevara,26290,Shanghai 2024,2024-04-23,2024,qualification,9.62
44,45024,Mrinal Chauhan,26290,Shanghai 2024,2024-04-23,2024,qualification,9.04
45,17262,Ankita Bhakat,26290,Shanghai 2024,2024-04-23,2024,qualification,9.22
46,45025,Bhajan Kaur,26290,Shanghai 2024,2024-04-23,2024,qualification,9.12
47,8734,Deepika Kumari,26290,Shanghai 2024,2024-04-23,2024,qualification,9.11
48,27737,Komalika Bari,26290,Shanghai 2024,2024-04-23,2024,qualification,8.83
49,5354,Abhishek Verma,26290,Shanghai 2024,2024-04-23,2024,qualification,9.83
50,42056,Priyansh ,26290,Shanghai 2024,2024-04-23,2024,qualification,9.82
51,43889,Aditi Gopichand Swami,26290,Shanghai 2024,2024-04-23,2024,qualification,9.78
52,39665,Parneet Kaur,26290,Shanghai 2024,2024-04-23,2024,qualification,9.76
53,22125,Dhiraj Bommadevara,27161,Baghdad 2024 Asia Cup,2024-02-20,2024,qualification,9.49
54,31020,Parth Sushant Salunkhe,27161,Baghdad 2024 Asia Cup,2024-02-20,2024,qualification,9.31
55,17287,Simranjeet Kaur,27161,Baghdad 2024 Asia Cup,2024-02-20,2024,qualification,9.14
56,8734,Deepika Kumari,27161,Baghdad 2024 Asia Cup,2024-02-20,2024,qualification,9.12
57,45025,Bhajan Kaur,27161,Baghdad 2024 Asia Cup,2024-02-20,2024,qualification,9.1
58,17262,Ankita Bhakat,27161,Baghdad 2024 Asia Cup,2024-02-20,2024,qualification,9.03
59,27738,Prathamesh Samadhan Jawkar,27161,Baghdad 2024 Asia Cup,2024-02-20,2024,qualification,9.75
60,42056,Priyansh ,27161,Baghdad 2024 Asia Cup,2024-02-20,2024,qualification,9.71
61,43889,Aditi Gopichand Swami,27161,Baghdad 2024 Asia Cup,2024-02-20,2024,qualification,9.79
62,39665,Parneet Kaur,27161,Baghdad 2024 Asia Cup,2024-02-20,2024,qualification,9.6
63,22125,Dhiraj Bommadevara,26628,Asian qualifier | #ArcheryinParis,2023-11-09,2023,qualification,9.4
64,17262,Ankita Bhakat,26628,Asian qualifier | #ArcheryinParis,2023-11-09,2023,qualification,8.97
65,45025,Bhajan Kaur,26628,Asian qualifier | #ArcheryinParis,2023-11-09,2023,qualification,8.86
66,22125,Dhiraj Bommadevara,26629,"Bangkok 2023 Asian - Bangkok, Thailand 2023",2023-11-03,2023,qualification,9.47
67,17262,Ankita Bhakat,26629,"Bangkok 2023 Asian - Bangkok, Thailand 2023",2023-11-03,2023,qualification,9.11
68,45025,Bhajan Kaur,26629,"Bangkok 2023 Asian - Bangkok, Thailand 2023",2023-11-03,2023,qualification,9.01
69,17287,Simranjeet Kaur,26629,"Bangkok 2023 Asian - Bangkok, Thailand 2023",2023-11-03,2023,qualification,8.79
70,42056,Priyansh ,26629,"Bangkok 2023 Asian - Bangkok, Thailand 2023",2023-11-03,2023,qualification,9.86
71,5354,Abhishek Verma,26629,"Bangkok 2023 Asian - Bangkok, Thailand 2023",2023-11-03,2023,qualification,9.83
72,39157,Ojas Pravin Deotale,26629,"Bangkok 2023 Asian - Bangkok, Thailand 2023",2023-11-03,2023,qualification,9.83
73,43889,Aditi Gopichand Swami,26629,"Bangkok 2023 Asian - Bangkok, Thailand 2023",2023-11-03,2023,qualification,9.81
74,39665,Parneet Kaur,26629,"Bangkok 2023 Asian - Bangkok, Thailand 2023",2023-11-03,2023,qualification,9.71
75,22125,Dhiraj Bommadevara,20856,Hangzhou 2022,2023-10-02,2023,qualification,9.38
76,17262,Ankita Bhakat,20856,Hangzhou 2022,2023-10-02,2023,qualification,9.01
77,45025,Bhajan Kaur,20856,Hangzhou 2022,2023-10-02,2023,qualification,8.89
78,39157,Ojas Pravin Deotale,20856,Hangzhou 2022,2023-10-02,2023,qualification,9.85
79,5354,Abhishek Verma,20856,Hangzhou 2022,2023-10-02,2023,qualification,9.83
80,43889,Aditi Gopichand Swami,20856,Hangzhou 2022,2023-10-02,2023,qualification,9.67
81,22125,Dhiraj Bommadevara,25395,Paris 2023,2023-08-15,2023,qualification,9.53
82,45024,Mrinal Chauhan,25395,Paris 2023,2023-08-15,2023,qualification,9.21
83,45025,Bhajan Kaur,25395,Paris 2023,2023-08-15,2023,qualification,9.19
84,17287,Simranjeet Kaur,25395,Paris 2023,2023-08-15,2023,qualification,9.15
85,17262,Ankita Bhakat,25395,Paris 2023,2023-08-15,2023,qualification,9.14
86,39157,Ojas Pravin Deotale,25395,Paris 2023,2023-08-15,2023,qualification,9.9
87,27738,Prathamesh Samadhan Jawkar,25395,Paris 2023,2023-08-15,2023,qualification,9.83
88,5354,Abhishek Verma,25395,Paris 2023,2023-08-15,2023,qualification,9.81
89,43889,Aditi Gopichand Swami,25395,Paris 2023,2023-08-15,2023,qualification,9.83
90,39665,Parneet Kaur,25395,Paris 2023,2023-08-15,2023,qualification,9.65
91,22125,Dhiraj Bommadevara,25462,Berlin 2023,2023-07-31,2023,qualification,9.49
92,45024,Mrinal Chauhan,25462,Berlin 2023,2023-07-31,2023,qualification,8.89
93,17262,Ankita Bhakat,25462,Berlin 2023,2023-07-31,2023,qualification,8.88
94,45025,Bhajan Kaur,25462,Berlin 2023,2023-07-31,2023,qualification,8.71
95,17287,Simranjeet Kaur,25462,Berlin 2023,2023-07-31,2023,qualification,8.68
96,39157,Ojas Pravin Deotale,25462,Berlin 2023,2023-07-31,2023,qualification,9.75
97,27738,Prathamesh Samadhan Jawkar,25462,Berlin 2023,2023-07-31,2023,qualification,9.71
98,5354,Abhishek Verma,25462,Berlin 2023,2023-07-31,2023,qualification,9.62
99,43889,Aditi Gopichand Swami,25462,Berlin 2023,2023-07-31,2023,qualification,9.62
100,39665,Parneet Kaur,25462,Berlin 2023,2023-07-31,2023,qualification,9.46
101,31020,Parth Sushant Salunkhe,24223,Limerick 2023,2023-07-03,2023,qualification,9.33
102,45025,Bhajan Kaur,24223,Limerick 2023,2023-07-03,2023,qualification,8.58
103,42056,Priyansh ,24223,Limerick 2023,2023-07-03,2023,qualification,9.74
104,27738,Prathamesh Samadhan Jawkar,24223,Limerick 2023,2023-07-03,2023,qualification,9.68
105,39665,Parneet Kaur,24223,Limerick 2023,2023-07-03,2023,qualification,9.53
106,43889,Aditi Gopichand Swami,24223,Limerick 2023,2023-07-03,2023,qualification,9.38
107,45024,Mrinal Chauhan,25735,Medellin 2023,2023-06-13,2023,qualification,9.31
108,22125,Dhiraj Bommadevara,25735,Medellin 2023,2023-06-13,2023,qualification,9.29
109,45025,Bhajan Kaur,25735,Medellin 2023,2023-06-13,2023,qualification,9.28
110,17262,Ankita Bhakat,25735,Medellin 2023,2023-06-13,2023,qualification,8.83
111,5354,Abhishek Verma,25735,Medellin 2023,2023-06-13,2023,qualification,9.82
112,39157,Ojas Pravin Deotale,25735,Medellin 2023,2023-06-13,2023,qualification,9.76
113,27738,Prathamesh Samadhan Jawkar,25735,Medellin 2023,2023-06-13,2023,qualification,9.75
114,43889,Aditi Gopichand Swami,25735,Medellin 2023,2023-06-13,2023,qualification,9.88
115,39665,Parneet Kaur,25735,Medellin 2023,2023-06-13,2023,qualification,9.72
116,31020,Parth Sushant Salunkhe,25418,Singapore 2023 Asia Cup,2023-06-05,2023,qualification,9.33
117,42056,Priyansh ,25418,Singapore 2023 Asia Cup,2023-06-05,2023,qualification,9.86
118,22125,Dhiraj Bommadevara,26055,Shanghai 2023,2023-05-16,2023,qualification,9.11
119,17287,Simranjeet Kaur,26055,Shanghai 2023,2023-05-16,2023,qualification,9.0
120,45025,Bhajan Kaur,26055,Shanghai 2023,2023-05-16,2023,qualification,8.86
121,17262,Ankita Bhakat,26055,Shanghai 2023,2023-05-16,2023,qualification,8.75
122,39157,Ojas Pravin Deotale,26055,Shanghai 2023,2023-05-16,2023,qualification,9.67
123,27738,Prathamesh Samadhan Jawkar,26055,Shanghai 2023,2023-05-16,2023,qualification,9.58
124,43889,Aditi Gopichand Swami,26055,Shanghai 2023,2023-05-16,2023,qualification,9.57
125,45024,Mrinal Chauhan,26183,Tashkent 2023 Asia Cup,2023-04-29,2023,qualification,9.35
126,5354,Abhishek Verma,26183,Tashkent 2023 Asia Cup,2023-04-29,2023,qualification,9.88
